text,condition,record_type
"Dog ate chocolate, now vomiting and hyperactive.",Digestive Issues,Owner Observation
Ferret is rubbing its body against furniture frequently.,Skin Irritations,Owner Observation
Pruritus and erythema on belly; test for atopy.,Skin Irritations,Clinical Notes
My dog might have gotten water in his ear during his bath.,Ear Infections,Owner Observation
"Provide supportive care (iron supplementation, blood transfusion if necessary) for severe parasite-induced anemia.",Parasites,Clinical Notes
Fecal examination positive for Cystoisospora spp. oocysts (Coccidia).,Parasites,Clinical Notes
Found multiple ticks on my dog after a walk in the woods.,Parasites,Owner Observation
Canine 4Dx Plus SNAP test positive for Anaplasma phagocytophilum antibodies.,Parasites,Clinical Notes
There's a foul odor coming from my cat's ears.,Ear Infections,Owner Observation
Localized demodicosis in young dog often resolves without treatment; monitor.,Parasites,Clinical Notes
Puppy is being treated for Sarcoptic mange (scabies).,Parasites,Owner Observation
Perform skin biopsy if mites suspected but scrapes are negative.,Parasites,Clinical Notes
Rabbit has stopped grooming itself and looks unkempt.,Digestive Issues,Owner Observation
"Cat's ears are very itchy and painful, she cries when I touch them.",Parasites,Owner Observation
Cat has a soft tissue injury (sprain/strain).,Mobility Problems,Owner Observation
"Prescribe broad-spectrum dewormer (e.g., fenbendazole, pyrantel/praziquantel combo) based on fecal results.",Parasites,Clinical Notes
Rectal stricture identified on digital exam.,Digestive Issues,Clinical Notes
Constipation noted; administer enema and start lactulose.,Digestive Issues,Clinical Notes
The dog keeps licking one spot on his front leg until it's raw.,Skin Irritations,Owner Observation
Cat walks very slowly and cautiously.,Mobility Problems,Owner Observation
"My cat has Toxoplasma, I'm pregnant and concerned.",Parasites,Owner Observation
"Supportive care (fluids, nutritional support) for severely debilitated animals.",Parasites,Clinical Notes
My puppy has dandruff only a few days after a bath.,Skin Irritations,Owner Observation
My cat tested positive for Giardia after having diarrhea.,Parasites,Owner Observation
My dog's paw pads are cracked and bleeding.,Skin Irritations,Owner Observation
Cervical spondylomyelopathy (Wobbler syndrome) suspected; MRI needed for definitive diagnosis and surgical planning.,Mobility Problems,Clinical Notes
"My puppy seems to have a sensitive stomach, gets diarrhea easily.",Digestive Issues,Owner Observation
"Mild weight-bearing lameness RF (Grade 2/5), worse after rest.",Mobility Problems,Clinical Notes
My cat's ear infection is resistant to multiple antibiotics.,Ear Infections,Owner Observation
Cheyletiella mites ('walking dandruff') identified on surface tape prep.,Skin Irritations,Clinical Notes
Cat developed sudden loss of balance and circling.,Ear Infections,Owner Observation
Trial of amantadine added to NSAID/gabapentin for refractory OA pain (NMDA receptor antagonist).,Mobility Problems,Clinical Notes
Administer Capstar (nitenpyram) for rapid flea kill.,Parasites,Clinical Notes
"My dog has scabies, and now I'm itchy too!",Parasites,Owner Observation
"Dog ate grapes off the counter, now vomiting.",Digestive Issues,Owner Observation
"Dog has oily, smelly skin, especially along the back.",Skin Irritations,Owner Observation
Check FeLV/FIV status in cats with demodicosis.,Parasites,Clinical Notes
Continue treatment for 7 days past clinical resolution.,Ear Infections,Clinical Notes
My dog's ear infections are a chronic problem requiring ongoing care.,Ear Infections,Owner Observation
Proglottids consistent with Dipylidium caninum identified on perineal fur. Recommend concurrent flea treatment.,Parasites,Clinical Notes
Cat's ear canal looks very narrow.,Ear Infections,Owner Observation
Discuss Adequan (polysulfated glycosaminoglycan) injections for OA management.,Mobility Problems,Clinical Notes
My dog contracted Babesia from a tick.,Parasites,Owner Observation
Rabbit has E. cuniculi infection causing neurological/mobility issues.,Mobility Problems,Owner Observation
Recheck scheduled in 2-3 weeks to assess response to therapy.,Skin Irritations,Clinical Notes
Administer gabapentin or amantadine for neuropathic pain/chronic OA pain.,Mobility Problems,Clinical Notes
"My dog suddenly couldn't stand up this morning, crying in pain.",Mobility Problems,Owner Observation
Schedule follow-up appointment or phone call.,Digestive Issues,Clinical Notes
Rule out parasites as a cause of chronic GI or skin condition.,Parasites,Clinical Notes
Administer praziquantel for tapeworm treatment.,Parasites,Clinical Notes
Cat reacted painfully when the vet extended her hind legs.,Mobility Problems,Owner Observation
Allergic shiners (darkening around eyes) noted in atopic dog.,Skin Irritations,Clinical Notes
"Systemic antifungals (e.g., ketoconazole, itraconazole) may be needed for resistant Malassezia.",Ear Infections,Clinical Notes
"My cat only poops every 3-4 days, and the stool is very hard.",Digestive Issues,Owner Observation
"Treat ear mites with topical acaricide (e.g., selamectin, moxidectin). Clean ears prior to treatment.",Parasites,Clinical Notes
Suspect supraspinatus tendinopathy; diagnostic musculoskeletal ultrasound recommended.,Mobility Problems,Clinical Notes
Culture results: Pseudomonas aeruginosa resistant to multiple antibiotics; consult sensitivity report.,Skin Irritations,Clinical Notes
Guinea pig has flaky skin around its eyes.,Skin Irritations,Owner Observation
Vasculitis causing ear tip necrosis; investigate underlying cause.,Skin Irritations,Clinical Notes
Schedule recheck based on severity and treatment plan.,Ear Infections,Clinical Notes
Post-operative care instructions provided for aural hematoma repair.,Ear Infections,Clinical Notes
My budgie has crusty growths around its beak and legs.,Parasites,Owner Observation
My cat has developed small scabs scattered throughout her coat.,Skin Irritations,Owner Observation
Eosinophilic plaque identified on feline abdomen; consider allergy vs. parasitic cause. Cytology performed.,Skin Irritations,Clinical Notes
"Cat's claws seem overgrown, maybe not scratching post due to pain.",Mobility Problems,Owner Observation
My rabbit stopped eating hay and seems lethargic.,Digestive Issues,Owner Observation
Vertical ear canal ablation (VECA) performed.,Ear Infections,Clinical Notes
Cat developed arthritis in her elbow after an old fracture.,Mobility Problems,Owner Observation
Perform ACTH stimulation test to rule out Addison's.,Digestive Issues,Clinical Notes
"Wet tail (proliferative ileitis) in hamster; guarded prognosis. Initiate supportive care (fluids, antibiotics, heat).",Digestive Issues,Clinical Notes
Seborrheic patches on belly; antifungal treatment started.,Skin Irritations,Clinical Notes
"Dog's limp is barely noticeable after warming up, but bad when first rising.",Mobility Problems,Owner Observation
Lameness with pain; rule out bone tumor.,Mobility Problems,Clinical Notes
Dog is licking the air and swallowing repeatedly.,Digestive Issues,Owner Observation
Acetate tape preparation reveals Cheyletiella spp. mites ('walking dandruff').,Parasites,Clinical Notes
Ferret is vomiting undigested food shortly after eating.,Digestive Issues,Owner Observation
Cat cries out when I pick her up around her hips.,Mobility Problems,Owner Observation
"If FAD suspected, ensure effective flea control product is being used correctly.",Skin Irritations,Clinical Notes
Nasopharyngeal polyp visualized extending into external ear canal in young cat.,Ear Infections,Clinical Notes
My ferret shakes its head after cleaning.,Ear Infections,Owner Observation
Puppy has moisture in his ears after playing in water.,Ear Infections,Owner Observation
Lichenification and hyperpigmentation in axillary regions; chronic allergic skin condition likely.,Skin Irritations,Clinical Notes
Ear infection with swelling; start combo drops.,Ear Infections,Clinical Notes
My dog has osteosarcoma (bone cancer).,Mobility Problems,Owner Observation
"Hygroma noted on elbow; advise padded bedding, monitor for infection.",Skin Irritations,Clinical Notes
"Document degree of stenosis, erythema, ulceration, and nature of discharge.",Ear Infections,Clinical Notes
The skin inside my dog's ears looks red and inflamed.,Ear Infections,Owner Observation
Ferret suddenly became paralyzed in the back legs.,Mobility Problems,Owner Observation
Dog is retching forcefully but producing nothing.,Digestive Issues,Owner Observation
Rabbit is scratching the base of its ears.,Ear Infections,Owner Observation
Rabbit is dragging one of its back legs.,Mobility Problems,Owner Observation
Dog has developed resistance to several types of ear drops.,Ear Infections,Owner Observation
"Superficial pyoderma characterized by papules, pustules, and epidermal collarettes on ventral abdomen.",Skin Irritations,Clinical Notes
Fecal transplant considered for refractory Clostridium difficile.,Digestive Issues,Clinical Notes
"Discuss underlying causes (allergies, conformation, moisture) and long-term management.",Ear Infections,Clinical Notes
Puppy walks with a 'bunny hop' gait.,Mobility Problems,Owner Observation
My guinea pig is losing hair symmetrically on both sides.,Skin Irritations,Owner Observation
"E. cuniculi suspected in rabbit with head tilt, ataxia, or hind limb paresis; treat with fenbendazole.",Mobility Problems,Clinical Notes
Consider trial of pro-motility agent (metoclopramide or cisapride) for suspected gastric hypomotility.,Digestive Issues,Clinical Notes
Schedule recheck appointment in 1-2 weeks to assess initial response to pain medication.,Mobility Problems,Clinical Notes
Immune-mediated polyarthritis suspected based on multiple joint effusions and fever.,Mobility Problems,Clinical Notes
Recommend weight loss program; current BCS 7/9. Target BCS 5/9.,Mobility Problems,Clinical Notes
Check for concurrent infections in immunocompromised animals.,Parasites,Clinical Notes
"Supportive care for pancreatitis: IV fluids, pain management (buprenorphine), anti-emetics, NPO initially.",Digestive Issues,Clinical Notes
"Rule out systemic illness (e.g., fever, infection, metabolic condition) causing generalized weakness or lethargy.",Mobility Problems,Clinical Notes
Video demonstration of ear cleaning provided to owner.,Ear Infections,Clinical Notes
Ferret is shaking its head due to ear mite irritation.,Parasites,Owner Observation
Discuss risk of parasite exchange between different pet species in the household.,Parasites,Clinical Notes
Provide estimate for diagnostic workup and treatment.,Skin Irritations,Clinical Notes
"Dog has developed moist, red patches under his collar.",Skin Irritations,Owner Observation
My rabbit has developed a large abscess under its chin.,Skin Irritations,Owner Observation
My rabbit has discharge from its eye on the same side as the droopy ear.,Ear Infections,Owner Observation
"My cat brings food back up almost immediately after eating, looks undigested.",Digestive Issues,Owner Observation
My guinea pig has sores on the bottoms of its feet.,Skin Irritations,Owner Observation
Pruritic lesions on tail; anti-itch spray prescribed.,Skin Irritations,Clinical Notes
Radiographs show colon filled with large amount of inspissated feces; consistent with megacolon.,Digestive Issues,Clinical Notes
"Guinea pig seems lethargic and thin, maybe internal parasites?",Parasites,Owner Observation
Assess panniculus reflex and deep pain sensation to localize spinal cord lesion.,Mobility Problems,Clinical Notes
"Dog has thickened, rough skin inside the ear canal (cobblestone appearance).",Ear Infections,Owner Observation
My rabbit caught fleas from our dog.,Parasites,Owner Observation
"My cat has what looks like dandruff, but it moves.",Skin Irritations,Owner Observation
Recheck appointment scheduled to monitor progress.,Skin Irritations,Clinical Notes
Ensure prescribed volume of medication is sufficient to coat the entire ear canal.,Ear Infections,Clinical Notes
Thoracic radiographs taken to screen for metastasis prior to amputation.,Mobility Problems,Clinical Notes
"Discuss zoonotic potential of Salmonella, Campylobacter, Giardia, Toxocara.",Digestive Issues,Clinical Notes
Avascular necrosis of the femoral head (LCPD) confirmed radiographically. FHO surgery recommended.,Mobility Problems,Clinical Notes
"Multiple alopecic, scaling patches present; Wood's lamp negative, fungal culture pending for dermatophytosis.",Skin Irritations,Clinical Notes
"Perianal pruritus and erythema; anal sacs expressed (moderate amount, normal consistency), check for tapeworms/allergies.",Skin Irritations,Clinical Notes
"Fecal flotation positive for Trichuris vulpis eggs (+). Requires specific deworming protocol (e.g., fenbendazole x 3 days, repeat).",Parasites,Clinical Notes
"Guinea pig is staying in one corner of the cage, not exploring.",Mobility Problems,Owner Observation
Blood in stool; rule out ulceration.,Digestive Issues,Clinical Notes
"Cat is scratching her neck raw, right where the collar sits.",Skin Irritations,Owner Observation
Guinea pig has vitamin C deficiency (scurvy) causing joint pain.,Mobility Problems,Owner Observation
Cat has sores on her lips and tongue.,Skin Irritations,Owner Observation
Cat has scratches and scabs around her ears from scratching.,Ear Infections,Owner Observation
My dog has exercise-induced weakness due to myasthenia gravis.,Mobility Problems,Owner Observation
My cat has been hiding under the bed and won't eat.,Digestive Issues,Owner Observation
Erythema and scaling on paws; soak and medicate.,Skin Irritations,Clinical Notes
My dog has panosteitis (growing pains).,Mobility Problems,Owner Observation
My cat has fleas even though she's an indoor cat.,Parasites,Owner Observation
My dog has severe hip dysplasia confirmed by x-rays.,Mobility Problems,Owner Observation
My dog has flaky skin along his spine.,Parasites,Owner Observation
Azotemia present (elevated BUN/Creatinine); differentiate pre-renal vs. renal vs. post-renal causes. Urinalysis needed.,Digestive Issues,Clinical Notes
My rabbit has 'walking dandruff' mites (Cheyletiella).,Parasites,Owner Observation
Kitten has Coccidia causing bloody diarrhea.,Parasites,Owner Observation
My dog keeps shaking his head violently and scratching at his right ear.,Ear Infections,Owner Observation
"My puppy is having diarrhea accidents inside, seems urgent.",Digestive Issues,Owner Observation
"Dog has greasy, pale, voluminous stools.",Digestive Issues,Owner Observation
Abdominal palpation reveals mild discomfort; no obvious foreign body palpated.,Digestive Issues,Clinical Notes
Cat is sensitive to noises.,Ear Infections,Owner Observation
Feline psychogenic alopecia suspected; rule out medical causes of pruritus first.,Skin Irritations,Clinical Notes
"Guinea pig is limping, possibly due to lack of Vitamin C.",Mobility Problems,Owner Observation
Alopecia and redness on tail; rule out psychogenic causes.,Skin Irritations,Clinical Notes
Puppy is small for his age and has chronic soft stools.,Digestive Issues,Owner Observation
Rabbit is holding its head tilted and seems unbalanced.,Mobility Problems,Owner Observation
Provide client education handout on managing allergic dermatitis.,Skin Irritations,Clinical Notes
Initiate course of Adequan (PSGAG) injections.,Mobility Problems,Clinical Notes
My cat has vomited several times today and is now hiding.,Digestive Issues,Owner Observation
Recheck skin scrapes monthly during Demodex treatment until two consecutive negative scrapes.,Parasites,Clinical Notes
"My cat has rapid, involuntary eye movements (nystagmus).",Ear Infections,Owner Observation
Cat seems deaf in one ear.,Ear Infections,Owner Observation
My cat has really bad breath and sometimes vomits yellow foam.,Digestive Issues,Owner Observation
Biopsy of mass in ear canal submitted for histopathology.,Ear Infections,Clinical Notes
"Heartworm treatment protocol initiated (doxycycline, preventative, melarsomine injections).",Parasites,Clinical Notes
Recommend omega-3 fatty acid supplementation to support skin barrier.,Skin Irritations,Clinical Notes
"Severe ulcerative pododermatitis (bumblefoot) in guinea pig; debride, bandage, systemic antibiotics, improve husbandry.",Mobility Problems,Clinical Notes
"Kitten is anemic (pale gums) and lethargic, suspecting heavy flea or worm burden.",Parasites,Owner Observation
Rabbit has a fractured leg.,Mobility Problems,Owner Observation
Cytology of ear discharge reveals budding yeast (Malassezia).,Skin Irritations,Clinical Notes
Dog is swallowing repeatedly and licking his nose.,Digestive Issues,Owner Observation
Infraspinatus contracture noted.,Mobility Problems,Clinical Notes
My dog has developed dark pigmentation on previously pink skin.,Skin Irritations,Owner Observation
My cat vomited pink-tinged fluid.,Digestive Issues,Owner Observation
Modify multimodal pain plan based on patient response and owner feedback.,Mobility Problems,Clinical Notes
My dog cries when getting up or lying down.,Mobility Problems,Owner Observation
Re-examine tympanic membrane after initial treatment and cleaning to assess integrity.,Ear Infections,Clinical Notes
Purulent exudate present in vertical canal (AD - right ear); sample collected for culture and sensitivity.,Ear Infections,Clinical Notes
Robert Jones bandage applied for temporary stabilization of tibial fracture.,Mobility Problems,Clinical Notes
My cat has developed a lump that feels fatty under the skin.,Skin Irritations,Owner Observation
Rabbit has developed urine scald from inability to posture correctly.,Mobility Problems,Owner Observation
"Recommend environmental flea treatment (vacuuming, washing bedding, premise spray).",Parasites,Clinical Notes
Fecal microbiota transplantation (FMT) discussed as option for refractory chronic diarrhea.,Digestive Issues,Clinical Notes
Cat is irritable or aggressive when touched in certain areas.,Mobility Problems,Owner Observation
"Dog has chronic ear infections, vet mentioned allergies.",Ear Infections,Owner Observation
Referral to internal medicine specialist recommended for complex chronic enteropathy.,Digestive Issues,Clinical Notes
Puppy whimpers if I gently squeeze the base of his ear.,Ear Infections,Owner Observation
Prescribe metronidazole for suspected bacterial overgrowth/colitis.,Digestive Issues,Clinical Notes
"Ferret has ear mites, visible as dark debris.",Parasites,Owner Observation
Hind limb lameness; check for meniscal injury.,Mobility Problems,Clinical Notes
Rule out stress colitis as contributing factor.,Digestive Issues,Clinical Notes
Consider laser therapy to reduce inflammation.,Ear Infections,Clinical Notes
Performed deep ear flush under sedation. Removed large amount of debris.,Ear Infections,Clinical Notes
Guinea pig's back legs seem completely limp.,Mobility Problems,Owner Observation
Perform follow-up cytology at recheck to confirm resolution of infection.,Ear Infections,Clinical Notes
My guinea pig’s sides are red and scabby.,Skin Irritations,Owner Observation
My puppy walks stiffly for the first few steps after waking up.,Mobility Problems,Owner Observation
Ferret has itchy skin and some hair loss on its tail.,Skin Irritations,Owner Observation
My puppy's littermates also have ear problems.,Ear Infections,Owner Observation
My cat's eyes are darting back and forth rapidly.,Ear Infections,Owner Observation
My dog walks with his back arched upwards.,Mobility Problems,Owner Observation
Baseline cortisol low; ACTH stimulation test confirms Addison's condition. Initiate DOCP and prednisone.,Digestive Issues,Clinical Notes
"Dog's limp is worse after resting (e.g., morning stiffness).",Mobility Problems,Owner Observation
"History of potential toxin exposure (e.g., antifreeze, rodenticide, human medications). Advise immediate evaluation.",Digestive Issues,Clinical Notes
Cat is excessively grooming her front legs.,Skin Irritations,Owner Observation
My puppy got something stuck in his ear (grass seed?).,Ear Infections,Owner Observation
My dog's skin turns red and blotchy after walks in the grass.,Skin Irritations,Owner Observation
Tick panel (4Dx) positive for Borrelia burgdorferi (Lyme) antibodies. Clinical signs consistent with Lyme nephritis/arthritis.,Mobility Problems,Clinical Notes
Serum folate and cobalamin levels submitted to assess small intestinal absorptive function.,Digestive Issues,Clinical Notes
"Rule out autoimmune condition (e.g., pemphigus) causing pinnal lesions.",Ear Infections,Clinical Notes
Dog has intense itching primarily at night.,Skin Irritations,Owner Observation
"Differentials for head shaking: Otitis (externa, media), foreign body, polyp, mites, allergy, neurological condition.",Ear Infections,Clinical Notes
My dog has bone cancer causing severe leg pain.,Mobility Problems,Owner Observation
"Cytology AS (left ear): Yeast (Malassezia) ++++, Cocci ++, Rods 0. Neutrophils ++.",Ear Infections,Clinical Notes
Provide owner with feeding tube care instructions.,Digestive Issues,Clinical Notes
"Acute moist dermatitis (hot spot) on left hip; clip, clean, apply topical steroid/antibiotic.",Skin Irritations,Clinical Notes
Ferret is vomiting shortly after every meal.,Digestive Issues,Owner Observation
"My dog has recurring ear problems, especially after swimming.",Ear Infections,Owner Observation
Clip hair around lesions to facilitate topical treatment.,Skin Irritations,Clinical Notes
"Cat has been chewing her hind legs, leaving raw spots.",Skin Irritations,Owner Observation
Pet ate spoiled food and now has diarrhea.,Digestive Issues,Owner Observation
My dog's back legs seem to cross over when he walks.,Mobility Problems,Owner Observation
Characteristic gait abnormality and muscle atrophy consistent with infraspinatus contracture.,Mobility Problems,Clinical Notes
Confirm owner compliance with preventative medications.,Parasites,Clinical Notes
Mild enterocolitis; probiotics and fluids advised.,Digestive Issues,Clinical Notes
Ferret needs a flea treatment that is safe and effective for them.,Parasites,Owner Observation
"Severe, symmetrical epaxial and gluteal muscle atrophy noted.",Mobility Problems,Clinical Notes
Disc herniation; prescribe strict rest and steroids.,Mobility Problems,Clinical Notes
Food allergy trial initiated with novel protein diet.,Skin Irritations,Clinical Notes
Crusting lesions on flanks; antifungal cream advised.,Skin Irritations,Clinical Notes
My dog has intervertebral disc condition (IVDD).,Mobility Problems,Owner Observation
Guinea pig is dragging its hind legs behind it.,Mobility Problems,Owner Observation
Cat is overgrooming areas near painful joints.,Mobility Problems,Owner Observation
My cat has been hiding and refusing food for a day.,Digestive Issues,Owner Observation
My dog ate fatty table scraps and is now vomiting and painful.,Digestive Issues,Owner Observation
Educate owner on signs of worsening neurological function.,Mobility Problems,Clinical Notes
"My rabbit has fleas, likely from the dog.",Parasites,Owner Observation
Cat is suddenly unable to use her back legs and is crying in pain.,Mobility Problems,Owner Observation
Post-clipping alopecia noted on flank; advise owner regrowth may be slow or incomplete.,Skin Irritations,Clinical Notes
"Differentials include bacterial folliculitis, demodicosis, dermatophytosis.",Skin Irritations,Clinical Notes
My dog yelps when other dogs play near his head.,Ear Infections,Owner Observation
"Consider autoimmune skin conditions (lupus, pemphigus variants) in differential list.",Skin Irritations,Clinical Notes
Suspect Aelurostrongylus abstrusus (feline lungworm) based on respiratory signs. Baermann fecal analysis confirms L1 larvae.,Parasites,Clinical Notes
Administer anti-emetic (maropitant injection) and recommend hospitalization for IV fluids and further diagnostics/surgery.,Digestive Issues,Clinical Notes
"My dog seems restless and uncomfortable, pacing after meals.",Digestive Issues,Owner Observation
Recommend ear drying solution after swimming or bathing for predisposed dogs.,Ear Infections,Clinical Notes
Dog has chronic ear issues that flare up when his skin allergies act up.,Ear Infections,Owner Observation
Perform MDR1 genetic testing before using ivermectin/moxidectin in potentially sensitive breeds.,Parasites,Clinical Notes
Bile acids test recommended to assess liver function.,Digestive Issues,Clinical Notes
"Cat is hiding, seems lethargic, and occasionally shakes her head.",Ear Infections,Owner Observation
Flea infestation; start lotilaner chewables.,Parasites,Clinical Notes
Chronic dermatitis on neck; consider immunotherapy.,Skin Irritations,Clinical Notes
My puppy's ears require frequent cleaning as a preventative measure.,Ear Infections,Owner Observation
"Orthopedic exam components: observation, palpation of bones/joints/muscles, range of motion, instability tests (drawer, Ortolani).",Mobility Problems,Clinical Notes
My dog groans when lying down or changing positions.,Mobility Problems,Owner Observation
Nodular dermatofibrosis; check for renal cystadenocarcinoma.,Skin Irritations,Clinical Notes
"Kitten may have resistant parasites or Tritrichomonas, further testing needed.",Parasites,Owner Observation
Recommend strict adherence to hypoallergenic diet trial for minimum 8 weeks.,Ear Infections,Clinical Notes
Nasal hyperkeratosis noted; advise emollients/keratolytic agents.,Skin Irritations,Clinical Notes
My cat has developed scabs along her spine.,Skin Irritations,Owner Observation
"Localized demodicosis in puppy typically resolves spontaneously; monitor closely, treat if lesions spread.",Parasites,Clinical Notes
Flea allergy dermatitis (FAD) diagnosed; requires strict flea control and symptomatic treatment for pruritus.,Parasites,Clinical Notes
Document degree of lameness and affected limb(s).,Mobility Problems,Clinical Notes
Puppy vomited pieces of chewed-up fabric.,Digestive Issues,Owner Observation
"Cat is lethargic and hiding, along with the head shaking.",Ear Infections,Owner Observation
Dog has what looks like a small skin tag or growth inside his ear.,Ear Infections,Owner Observation
"My cat used to sleep on the top bunk, now she stays on the floor.",Mobility Problems,Owner Observation
Strict cage rest prescribed for suspected acute IVDD episode.,Mobility Problems,Clinical Notes
Hamster is not eating or drinking and looks hunched over.,Digestive Issues,Owner Observation
"Ferret has waxy ears, could be mites or just wax buildup.",Ear Infections,Owner Observation
Adequate sedation/anesthesia often required for safe and thorough otic examination/procedures.,Ear Infections,Clinical Notes
Dog has blood and mucus in his diarrhea.,Digestive Issues,Owner Observation
Post-inflammatory hyperpigmentation present in previously inflamed areas.,Skin Irritations,Clinical Notes
My dog has underlying food allergies that seem to trigger the ear infections.,Ear Infections,Owner Observation
"My cat stopped using the litter box, maybe it's hard to get into.",Mobility Problems,Owner Observation
"My ferret seems itchy, rubbing against things.",Parasites,Owner Observation
"Pododermatitis in guinea pig; assess husbandry (substrate, cleanliness), rule out infection/scurvy.",Skin Irritations,Clinical Notes
Dog has a Malassezia (yeast) overgrowth causing otitis.,Ear Infections,Clinical Notes
Cat is less playful than usual.,Mobility Problems,Owner Observation
Cat has scratched the fur off behind and below her ears.,Ear Infections,Owner Observation
Chronic otitis externa; test for atopy.,Ear Infections,Clinical Notes
Puppy has localized demodectic mange on his face.,Parasites,Owner Observation
"Hemorrhagic gastroenteritis (HGE): PCV 68%, TP 7.5 g/dL, raspberry jam stool. Aggressive IV fluid resuscitation required.",Digestive Issues,Clinical Notes
Ferret is pawing at its mouth and seems nauseous.,Digestive Issues,Owner Observation
Cat hesitates before jumping down.,Mobility Problems,Owner Observation
Dental condition noted; may contribute to anorexia or dysphagia.,Digestive Issues,Clinical Notes
Elevated Creatine Kinase (CK) levels suggest muscle damage; consider polymyositis/dermatomyositis.,Mobility Problems,Clinical Notes
Ferret has ear mites causing head shaking.,Parasites,Owner Observation
Impression smear from pustule reveals neutrophils and intracellular cocci; bacterial pyoderma confirmed.,Skin Irritations,Clinical Notes
Cat has blisters appearing on her skin.,Skin Irritations,Owner Observation
"There's black, waxy gunk coming out of my dog's ears.",Ear Infections,Owner Observation
Radiographs show L7-S1 spondylosis and mild narrowing of neural foramen.,Mobility Problems,Clinical Notes
My dog's ear smells yeasty.,Ear Infections,Owner Observation
Clip hair around affected areas to improve topical medication contact.,Skin Irritations,Clinical Notes
Inflammatory polyp visualized protruding from middle ear through tympanum.,Ear Infections,Clinical Notes
Use appropriate restraint/sedation for thorough otoscopic examination.,Ear Infections,Clinical Notes
Lameness with ataxia; test for spinal lesion.,Mobility Problems,Clinical Notes
Osteochondritis dissecans (OCD) lesion noted on shoulder radiograph.,Mobility Problems,Clinical Notes
Cat has a non-healing sore on her ear flap.,Skin Irritations,Owner Observation
Dog has chronic whipworm infection.,Parasites,Owner Observation
Rabbit is sitting hunched and grinding its teeth.,Digestive Issues,Owner Observation
Lesions consistent with mosquito bite hypersensitivity.,Skin Irritations,Clinical Notes
Gut dysbiosis likely; recommend synbiotic (probiotic + prebiotic).,Digestive Issues,Clinical Notes
"Dog has trouble squatting to poop, sometimes falls over.",Mobility Problems,Owner Observation
Soft tissue swelling noted around joint; rule out sprain/strain vs. septic arthritis.,Mobility Problems,Clinical Notes
Puppy has a dull coat and is underweight.,Parasites,Owner Observation
Evaluate patient's diet and discuss potential nutritional deficiencies.,Skin Irritations,Clinical Notes
Discuss quality of life assessment and end-of-life decision making if pain becomes unmanageable.,Mobility Problems,Clinical Notes
Advise gradual diet transition over 7-10 days to prevent GI upset.,Digestive Issues,Clinical Notes
Cat has started pooping outside the litter box on the rug.,Mobility Problems,Owner Observation
Yeast otitis with odor; clean and apply clotrimazole.,Ear Infections,Clinical Notes
Severe dental tartar and gingivitis noted; may contribute to hyporexia or dysphagia.,Digestive Issues,Clinical Notes
Re-evaluate tympanic membrane integrity after cleaning.,Ear Infections,Clinical Notes
Initiate topical therapy with chlorhexidine wipes.,Skin Irritations,Clinical Notes
"Confirm pet's lifestyle (indoor/outdoor, travel history) to assess parasite risk.",Parasites,Clinical Notes
"My dog's movement seems restricted, less range of motion.",Mobility Problems,Owner Observation
Consider parasite resistance if treatment fails; switch drug class.,Parasites,Clinical Notes
My dog's skin seems greasy and has a strong odor.,Skin Irritations,Owner Observation
Provide estimate for diagnostics and treatment options.,Mobility Problems,Clinical Notes
Use Tris-EDTA containing ear flush for Pseudomonas infections.,Ear Infections,Clinical Notes
Fecal flotation positive for Ancylostoma tubaeforme eggs (++).,Parasites,Clinical Notes
"My dog walks with short, choppy steps.",Mobility Problems,Owner Observation
My dog has extremely foul-smelling gas.,Digestive Issues,Owner Observation
Grade III/IV medial patellar luxation palpated in right stifle.,Mobility Problems,Clinical Notes
My bird has scaly mites on its legs.,Parasites,Owner Observation
Alopecia and crusting on legs; biopsy suggested.,Skin Irritations,Clinical Notes
Advise strict hygiene when handling pets with zoonotic parasites.,Parasites,Clinical Notes
"Advise NPO for 12-24 hours, then slowly reintroduce water and bland food.",Digestive Issues,Clinical Notes
Provided detailed post-operative care instructions following TECA-BO surgery.,Ear Infections,Clinical Notes
Rabbit looks dull and isn't drinking much water.,Digestive Issues,Owner Observation
"Ortolani sign positive, indicating hip laxity.",Mobility Problems,Clinical Notes
Dog has diarrhea with a fishy odor.,Digestive Issues,Owner Observation
Dog has a rash after swimming in a pond.,Skin Irritations,Owner Observation
Dog has bouts of vomiting and diarrhea that come and go.,Digestive Issues,Owner Observation
Administer Cytopoint (lokivetmab) injection for canine atopic dermatitis.,Skin Irritations,Clinical Notes
Perineal hernia contributing to constipation.,Digestive Issues,Clinical Notes
Discuss prognosis for chronic ear condition.,Ear Infections,Clinical Notes
Dog has chronic large bowel diarrhea due to whipworms.,Parasites,Owner Observation
Puppy has mild redness and a small amount of wax in both ears.,Ear Infections,Owner Observation
The discharge from my dog's ear looks slightly bloody.,Ear Infections,Owner Observation
Radiographs show osteophyte formation and joint space narrowing consistent with DJD in elbows.,Mobility Problems,Clinical Notes
Ferret is pawing at his mouth and drooling.,Digestive Issues,Owner Observation
Radiographs show segmental dilation of small intestine with plication; high suspicion for linear foreign body.,Digestive Issues,Clinical Notes
The skin between my dog's toes is red and inflamed.,Skin Irritations,Owner Observation
My puppy seems dizzy.,Ear Infections,Owner Observation
Repeat fecal examination post-treatment to confirm parasite eradication.,Digestive Issues,Clinical Notes
