text,condition,record_type,clean_text
Provide client handout detailing comprehensive flea control strategy (pet and environment).,Parasites,Clinical Notes,Provide client handout detailing comprehensive flea control strategy (pet and environment).
Cat has created raw spots and scabs around her ears from scratching.,Ear Infections,Owner Observation,Cat has created raw spots and scabs around her ears from scratching.
My cat seems to have inflammation deep within the ear.,Ear Infections,Owner Observation,My cat seems to have inflammation deep within the ear.
Document date of tick removal and location.,Parasites,Clinical Notes,Document date of tick removal and location.
Canine pancreatic lipase (cPL) snap test positive. Consistent with pancreatitis.,Digestive Issues,Clinical Notes,Canine pancreatic lipase (cPL) snap test positive. Consistent with pancreatitis.
"Cat is constantly scratching around the neck, causing hair loss.",Skin Irritations,Owner Observation,"Cat is constantly scratching around the neck, causing hair loss."
My rabbit has crusty buildup inside its ears.,Ear Infections,Owner Observation,My rabbit has crusty buildup inside its ears.
"Recommend initiation of monthly isoxazoline product (e.g., Bravecto, Nexgard, Simparica) for flea/tick control.",Parasites,Clinical Notes,"Recommend initiation of monthly isoxazoline product (e.g., Bravecto, Nexgard, Simparica) for flea/tick control."
"Crusting lesions on pinnal margins and pressure points; consider vasculitis, pemphigus, zinc-responsive dermatosis.",Skin Irritations,Clinical Notes,"Crusting lesions on pinnal margins and pressure points; consider vasculitis, pemphigus, zinc-responsive dermatosis."
Puppy's ears seem hot to the touch.,Ear Infections,Owner Observation,Puppy's ears seem hot to the touch.
Vomiting post-meal; test for food intolerance.,Digestive Issues,Clinical Notes,Vomiting post-meal; test for food intolerance.
"Guinea pig has mange mites, causing severe itching and seizures.",Parasites,Owner Observation,"Guinea pig has mange mites, causing severe itching and seizures."
Melena noted on rectal exam; suggests upper GI bleeding.,Digestive Issues,Clinical Notes,Melena noted on rectal exam; suggests upper GI bleeding.
Emphasize importance of removing feces from yard daily to break parasite life cycles.,Parasites,Clinical Notes,Emphasize importance of removing feces from yard daily to break parasite life cycles.
"Dog has intense itching episodes, especially at night.",Skin Irritations,Owner Observation,"Dog has intense itching episodes, especially at night."
"Dog keeps shaking his head, and the inside of his ear flaps are red.",Skin Irritations,Owner Observation,"Dog keeps shaking his head, and the inside of his ear flaps are red."
Advise owner that Sarcoptes mites can survive off-host for a limited time.,Parasites,Clinical Notes,Advise owner that Sarcoptes mites can survive off-host for a limited time.
Ensure owner understands frequency and duration of deworming medication.,Parasites,Clinical Notes,Ensure owner understands frequency and duration of deworming medication.
My rabbit is biting at its flank.,Skin Irritations,Owner Observation,My rabbit is biting at its flank.
My rabbit has sores developing on the soles of its feet.,Parasites,Owner Observation,My rabbit has sores developing on the soles of its feet.
"Examine contralateral ear; mild inflammation noted, recommend starting treatment AU.",Ear Infections,Clinical Notes,"Examine contralateral ear; mild inflammation noted, recommend starting treatment AU."
Parvovirus antigen test negative.,Digestive Issues,Clinical Notes,Parvovirus antigen test negative.
Vomiting and lethargy; check for intoxication.,Digestive Issues,Clinical Notes,Vomiting and lethargy; check for intoxication.
Rabbit has lost balance.,Ear Infections,Owner Observation,Rabbit has lost balance.
Provide client handout on proper tick removal technique and importance of prevention.,Parasites,Clinical Notes,Provide client handout on proper tick removal technique and importance of prevention.
My dog's elbow/hock seems to stick out at an odd angle.,Mobility Problems,Owner Observation,My dog's elbow/hock seems to stick out at an odd angle.
"Facial nerve paralysis (lip droop, inability to blink) noted; may be temporary or permanent complication of otitis.",Ear Infections,Clinical Notes,"Facial nerve paralysis (lip droop, inability to blink) noted; may be temporary or permanent complication of otitis."
Portosystemic shunt considered in young animal with poor growth and GI signs.,Digestive Issues,Clinical Notes,Portosystemic shunt considered in young animal with poor growth and GI signs.
Perform trichogram (hair pluck exam) to look for lice eggs (nits) or Cheyletiella.,Parasites,Clinical Notes,Perform trichogram (hair pluck exam) to look for lice eggs (nits) or Cheyletiella.
Cat has developed facial nerve paralysis (droopy face) on one side.,Ear Infections,Owner Observation,Cat has developed facial nerve paralysis (droopy face) on one side.
Cat vomits bile mostly in the early morning before breakfast.,Digestive Issues,Owner Observation,Cat vomits bile mostly in the early morning before breakfast.
"Advise meticulous hand hygiene and prompt feces removal to minimize zoonotic risk (e.g., roundworms, hookworms).",Parasites,Clinical Notes,"Advise meticulous hand hygiene and prompt feces removal to minimize zoonotic risk (e.g., roundworms, hookworms)."
"Dog has sudden onset of watery, projectile diarrhea.",Digestive Issues,Owner Observation,"Dog has sudden onset of watery, projectile diarrhea."
Discuss long-term management plan for chronic conditions.,Mobility Problems,Clinical Notes,Discuss long-term management plan for chronic conditions.
Address any owner financial concerns and discuss alternative treatment plans if necessary.,Ear Infections,Clinical Notes,Address any owner financial concerns and discuss alternative treatment plans if necessary.
My cat has redness and swelling of the chin.,Skin Irritations,Owner Observation,My cat has redness and swelling of the chin.
Myasthenia gravis diagnosed via Tensilon test or ACh receptor antibody titer.,Mobility Problems,Clinical Notes,Myasthenia gravis diagnosed via Tensilon test or ACh receptor antibody titer.
"Superficial necrolytic dermatitis (hepatocutaneous syndrome) suspected; check liver values/ultrasound, amino acids.",Skin Irritations,Clinical Notes,"Superficial necrolytic dermatitis (hepatocutaneous syndrome) suspected; check liver values/ultrasound, amino acids."
Hypertrophic osteodystrophy (HOD) suspected in young growing dog with fever and metaphyseal swelling/pain.,Mobility Problems,Clinical Notes,Hypertrophic osteodystrophy (HOD) suspected in young growing dog with fever and metaphyseal swelling/pain.
My guinea pig's droppings are very small and dry.,Digestive Issues,Owner Observation,My guinea pig's droppings are very small and dry.
"Cat has a greasy feel to her coat, especially near the tail base.",Skin Irritations,Owner Observation,"Cat has a greasy feel to her coat, especially near the tail base."
"Strict confinement (crate rest, leash walks only for elimination) mandated for 8 weeks post-operatively.",Mobility Problems,Clinical Notes,"Strict confinement (crate rest, leash walks only for elimination) mandated for 8 weeks post-operatively."
Engorged Ixodes pacificus tick removed from shoulder. Discuss Lyme condition prevention/monitoring.,Parasites,Clinical Notes,Engorged Ixodes pacificus tick removed from shoulder. Discuss Lyme condition prevention/monitoring.
"Bladder management (manual expression, catheterization) required for paralyzed patients.",Mobility Problems,Clinical Notes,"Bladder management (manual expression, catheterization) required for paralyzed patients."
Rabbit has discharge coming from the ear.,Ear Infections,Owner Observation,Rabbit has discharge coming from the ear.
"Dog’s ears have a rash with small, crusty bumps.",Skin Irritations,Owner Observation,"Dog’s ears have a rash with small, crusty bumps."
My cat has bad breath and occasionally vomits foam.,Digestive Issues,Owner Observation,My cat has bad breath and occasionally vomits foam.
Cat’s ears have a brown discharge and bad smell.,Ear Infections,Owner Observation,Cat’s ears have a brown discharge and bad smell.
My ferret arches his back when I pick him up.,Mobility Problems,Owner Observation,My ferret arches his back when I pick him up.
Radiographs show significant joint effusion in bilateral stifles.,Mobility Problems,Clinical Notes,Radiographs show significant joint effusion in bilateral stifles.
Ensure accurate weight for correct dosage of preventatives/treatments.,Parasites,Clinical Notes,Ensure accurate weight for correct dosage of preventatives/treatments.
"Radiographs reveal aggressive bone lesion (lysis, periosteal reaction) in distal radius; suspect osteosarcoma.",Mobility Problems,Clinical Notes,"Radiographs reveal aggressive bone lesion (lysis, periosteal reaction) in distal radius; suspect osteosarcoma."
Splint or cast applied for stabilization.,Mobility Problems,Clinical Notes,Splint or cast applied for stabilization.
My puppy has 'growing pains' (panosteitis).,Mobility Problems,Owner Observation,My puppy has 'growing pains' (panosteitis).
Prescribe anti-nausea medication (maropitant) for vestibular signs.,Ear Infections,Clinical Notes,Prescribe anti-nausea medication (maropitant) for vestibular signs.
Dietary modification: increase fiber for constipation/colitis.,Digestive Issues,Clinical Notes,Dietary modification: increase fiber for constipation/colitis.
Pythiosis suspected due to transmural GI thickening on ultrasound; serology or biopsy needed.,Digestive Issues,Clinical Notes,Pythiosis suspected due to transmural GI thickening on ultrasound; serology or biopsy needed.
My ferret seems painful in his back.,Mobility Problems,Owner Observation,My ferret seems painful in his back.
Ferret seems painful around the head.,Ear Infections,Owner Observation,Ferret seems painful around the head.
"Inquire about travel history, exposure to wildlife, and housing conditions to assess parasite risk.",Parasites,Clinical Notes,"Inquire about travel history, exposure to wildlife, and housing conditions to assess parasite risk."
"Myelogram performed, shows spinal cord compression.",Mobility Problems,Clinical Notes,"Myelogram performed, shows spinal cord compression."
Provide handout on tick prevention and removal.,Parasites,Clinical Notes,Provide handout on tick prevention and removal.
Treat generalized demodicosis with oral isoxazoline (off-label use may require informed consent) or injectable moxidectin.,Parasites,Clinical Notes,Treat generalized demodicosis with oral isoxazoline (off-label use may require informed consent) or injectable moxidectin.
My bird has crusty growths on its beak and feet.,Parasites,Owner Observation,My bird has crusty growths on its beak and feet.
Perform baseline CBC/Chemistry panel before starting NSAIDs; recheck periodically.,Mobility Problems,Clinical Notes,Perform baseline CBC/Chemistry panel before starting NSAIDs; recheck periodically.
Primary secretory otitis media (PSOM) suspected in Cavalier King Charles Spaniel.,Ear Infections,Clinical Notes,Primary secretory otitis media (PSOM) suspected in Cavalier King Charles Spaniel.
Otitis with waxy debris; flush and medicate.,Ear Infections,Clinical Notes,Otitis with waxy debris; flush and medicate.
Cat has developed hives/welts after being outside.,Skin Irritations,Owner Observation,Cat has developed hives/welts after being outside.
My cat has crusty lesions around her eyes and nose.,Skin Irritations,Owner Observation,My cat has crusty lesions around her eyes and nose.
Hypovitaminosis C (scurvy) suspected in anorexic guinea pig with painful joints/lameness. Supplement Vitamin C immediately.,Mobility Problems,Clinical Notes,Hypovitaminosis C (scurvy) suspected in anorexic guinea pig with painful joints/lameness. Supplement Vitamin C immediately.
Multiple papules and pustules on ventral thorax; impression smear reveals cocci.,Skin Irritations,Clinical Notes,Multiple papules and pustules on ventral thorax; impression smear reveals cocci.
Radiographs show diffuse gas pattern throughout bowel; no signs of obstruction.,Digestive Issues,Clinical Notes,Radiographs show diffuse gas pattern throughout bowel; no signs of obstruction.
"Provide client handout explaining heartworm life cycle, transmission, and prevention.",Parasites,Clinical Notes,"Provide client handout explaining heartworm life cycle, transmission, and prevention."
My dog is reluctant to go for walks.,Mobility Problems,Owner Observation,My dog is reluctant to go for walks.
My dog sits with his leg sticking straight out to the side.,Mobility Problems,Owner Observation,My dog sits with his leg sticking straight out to the side.
Consider referral to internal medicine specialist for complex cases.,Digestive Issues,Clinical Notes,Consider referral to internal medicine specialist for complex cases.
My dog is knuckling over on his paws.,Mobility Problems,Owner Observation,My dog is knuckling over on his paws.
"Heartworm antigen test positive. Confirm with microfilaria test/repeat antigen test. Stage condition (radiographs, echo). Initiate AHS protocol.",Parasites,Clinical Notes,"Heartworm antigen test positive. Confirm with microfilaria test/repeat antigen test. Stage condition (radiographs, echo). Initiate AHS protocol."
Patellar luxation grade III; surgical consult.,Mobility Problems,Clinical Notes,Patellar luxation grade III; surgical consult.
Otitis externa with odor; start combo drops.,Ear Infections,Clinical Notes,Otitis externa with odor; start combo drops.
Cytology (right ear) reveals Malassezia pachydermatis (yeast) +++ and cocci ++.,Ear Infections,Clinical Notes,Cytology (right ear) reveals Malassezia pachydermatis (yeast) +++ and cocci ++.
Pain elicited on extension of bilateral hips and palpation of lumbar spine.,Mobility Problems,Clinical Notes,Pain elicited on extension of bilateral hips and palpation of lumbar spine.
My dog has osteosarcoma requiring amputation.,Mobility Problems,Owner Observation,My dog has osteosarcoma requiring amputation.
Dog has developed calluses on his elbows that are now cracking.,Skin Irritations,Owner Observation,Dog has developed calluses on his elbows that are now cracking.
Consider ventral bulla osteotomy (VBO) for isolated middle ear condition or polyp removal.,Ear Infections,Clinical Notes,Consider ventral bulla osteotomy (VBO) for isolated middle ear condition or polyp removal.
Positive cranial drawer sign in right stifle; consistent with cranial cruciate ligament (CCL) rupture.,Mobility Problems,Clinical Notes,Positive cranial drawer sign in right stifle; consistent with cranial cruciate ligament (CCL) rupture.
Cat vomited a large hairball this morning.,Digestive Issues,Owner Observation,Cat vomited a large hairball this morning.
My rabbit has fur mites (Cheyletiella).,Parasites,Owner Observation,My rabbit has fur mites (Cheyletiella).
Pain medication (buprenorphine) administered for abdominal discomfort.,Digestive Issues,Clinical Notes,Pain medication (buprenorphine) administered for abdominal discomfort.
"Counsel owner on potential side effects of NSAIDs (GI upset, kidney/liver issues) and other analgesics.",Mobility Problems,Clinical Notes,"Counsel owner on potential side effects of NSAIDs (GI upset, kidney/liver issues) and other analgesics."
My ferret's skin looks yellowish and he's losing fur.,Skin Irritations,Owner Observation,My ferret's skin looks yellowish and he's losing fur.
"My puppy has dark specks in his ears, vet suspected mites.",Ear Infections,Owner Observation,"My puppy has dark specks in his ears, vet suspected mites."
"Regurgitation reported (passive expulsion of undigested food); suspect esophageal motility disorder or obstruction (e.g., megaesophagus, stricture). Barium swallow study considered.",Digestive Issues,Clinical Notes,"Regurgitation reported (passive expulsion of undigested food); suspect esophageal motility disorder or obstruction (e.g., megaesophagus, stricture). Barium swallow study considered."
"Hamster is scratching incessantly, causing small wounds.",Skin Irritations,Owner Observation,"Hamster is scratching incessantly, causing small wounds."
Biceps tendon test positive.,Mobility Problems,Clinical Notes,Biceps tendon test positive.
Ear swab cytology confirms presence of mite fragments and secondary Malassezia infection.,Parasites,Clinical Notes,Ear swab cytology confirms presence of mite fragments and secondary Malassezia infection.
Dog has a ruptured eardrum from a chronic infection.,Ear Infections,Owner Observation,Dog has a ruptured eardrum from a chronic infection.
Continue Demodex treatment until two consecutive negative skin scrapes one month apart.,Parasites,Clinical Notes,Continue Demodex treatment until two consecutive negative skin scrapes one month apart.
Wobbler syndrome (cervical spondylomyelopathy) suspected in large breed dog with neck pain and gait abnormalities.,Mobility Problems,Clinical Notes,Wobbler syndrome (cervical spondylomyelopathy) suspected in large breed dog with neck pain and gait abnormalities.
My cat tries to vomit frequently but only retches.,Digestive Issues,Owner Observation,My cat tries to vomit frequently but only retches.
Discuss prognosis for diagnosed condition.,Skin Irritations,Clinical Notes,Discuss prognosis for diagnosed condition.
"Cat has visibly swollen joints, especially her wrists (carpi).",Mobility Problems,Owner Observation,"Cat has visibly swollen joints, especially her wrists (carpi)."
"Polymyositis suspected; check CK levels, consider muscle biopsy.",Mobility Problems,Clinical Notes,"Polymyositis suspected; check CK levels, consider muscle biopsy."
"Rule out non-musculoskeletal causes of reluctance to move (e.g., systemic illness, abdominal pain).",Mobility Problems,Clinical Notes,"Rule out non-musculoskeletal causes of reluctance to move (e.g., systemic illness, abdominal pain)."
My cat is holding her head tilted to one side.,Ear Infections,Owner Observation,My cat is holding her head tilted to one side.
Suspect vitamin C deficiency (scurvy) in guinea pig with lameness/reluctance to move; supplement vitamin C.,Mobility Problems,Clinical Notes,Suspect vitamin C deficiency (scurvy) in guinea pig with lameness/reluctance to move; supplement vitamin C.
Cat looks carefully before jumping down from even low heights.,Mobility Problems,Owner Observation,Cat looks carefully before jumping down from even low heights.
My hamster’s stools are watery and frequent.,Digestive Issues,Owner Observation,My hamster’s stools are watery and frequent.
My puppy eats constantly but is skinny and has soft poop.,Digestive Issues,Owner Observation,My puppy eats constantly but is skinny and has soft poop.
"Post-operative monitoring includes checking incision, pain assessment, monitoring for return of GI motility.",Digestive Issues,Clinical Notes,"Post-operative monitoring includes checking incision, pain assessment, monitoring for return of GI motility."
Rabbit has ear mites causing thick crusts.,Ear Infections,Owner Observation,Rabbit has ear mites causing thick crusts.
My dog's thigh muscles look smaller than they used to.,Mobility Problems,Owner Observation,My dog's thigh muscles look smaller than they used to.
"Dog has diarrhea that smells metallic, like blood.",Digestive Issues,Owner Observation,"Dog has diarrhea that smells metallic, like blood."
"My cat used to love chasing laser pointers, now she just watches.",Mobility Problems,Owner Observation,"My cat used to love chasing laser pointers, now she just watches."
Dog is licking obsessively at a spot between his shoulder blades.,Skin Irritations,Owner Observation,Dog is licking obsessively at a spot between his shoulder blades.
Treat tapeworms with praziquantel or epsiprantel.,Parasites,Clinical Notes,Treat tapeworms with praziquantel or epsiprantel.
My dog whimpers when he tries to jump onto the bed.,Mobility Problems,Owner Observation,My dog whimpers when he tries to jump onto the bed.
Dog's ear canal bleeds easily when cleaned.,Ear Infections,Owner Observation,Dog's ear canal bleeds easily when cleaned.
"Educate owner on recognizing signs of dehydration (lethargy, sunken eyes, tacky gums).",Digestive Issues,Clinical Notes,"Educate owner on recognizing signs of dehydration (lethargy, sunken eyes, tacky gums)."
Rabbit has flaky skin on the outside of its ear flaps.,Skin Irritations,Owner Observation,Rabbit has flaky skin on the outside of its ear flaps.
Exfoliative cytology performed on skin lesion.,Skin Irritations,Clinical Notes,Exfoliative cytology performed on skin lesion.
Found a tick embedded in my cat's skin after she was outside.,Parasites,Owner Observation,Found a tick embedded in my cat's skin after she was outside.
"Comedones present on chin (feline acne); advise topical cleansing, possible antibiotics if secondary infection.",Skin Irritations,Clinical Notes,"Comedones present on chin (feline acne); advise topical cleansing, possible antibiotics if secondary infection."
Cat has hair loss around the eyes and ears.,Parasites,Owner Observation,Cat has hair loss around the eyes and ears.
"Localized demodectic mange in young dog; monitor, may resolve spontaneously.",Skin Irritations,Clinical Notes,"Localized demodectic mange in young dog; monitor, may resolve spontaneously."
Perineal hernia noted; contributes to tenesmus and constipation. Surgical repair advised.,Digestive Issues,Clinical Notes,Perineal hernia noted; contributes to tenesmus and constipation. Surgical repair advised.
Consider nasopharyngeal polyp in young cats with upper respiratory or ear signs.,Ear Infections,Clinical Notes,Consider nasopharyngeal polyp in young cats with upper respiratory or ear signs.
Rule out concurrent infections or immunosuppressive conditions in animals with heavy parasite loads.,Parasites,Clinical Notes,Rule out concurrent infections or immunosuppressive conditions in animals with heavy parasite loads.
"My dog has developed red, itchy patches on his belly and inner thighs.",Skin Irritations,Owner Observation,"My dog has developed red, itchy patches on his belly and inner thighs."
Recommend rehabilitation therapy including hydrotherapy and therapeutic exercises.,Mobility Problems,Clinical Notes,Recommend rehabilitation therapy including hydrotherapy and therapeutic exercises.
My rabbit is scratching its dewlap constantly.,Skin Irritations,Owner Observation,My rabbit is scratching its dewlap constantly.
"Rabbit is moving very little, seems painful.",Ear Infections,Owner Observation,"Rabbit is moving very little, seems painful."
Cat's chin has blackheads and some pimple-like sores (chin acne).,Skin Irritations,Owner Observation,Cat's chin has blackheads and some pimple-like sores (chin acne).
Campylobacter infection diagnosed via fecal culture.,Digestive Issues,Clinical Notes,Campylobacter infection diagnosed via fecal culture.
My dog developed a head tilt and seems dizzy.,Mobility Problems,Owner Observation,My dog developed a head tilt and seems dizzy.
My cat vomited a plant leaf.,Digestive Issues,Owner Observation,My cat vomited a plant leaf.
Cat got diarrhea after drinking milk.,Digestive Issues,Owner Observation,Cat got diarrhea after drinking milk.
"Discuss zoonotic potential of certain GI parasites (Giardia, Toxoplasma).",Digestive Issues,Clinical Notes,"Discuss zoonotic potential of certain GI parasites (Giardia, Toxoplasma)."
My ferret shakes his head after I clean his ears.,Ear Infections,Owner Observation,My ferret shakes his head after I clean his ears.
"Monitor for neurological side effects with high-dose ivermectin protocols, especially in susceptible breeds.",Parasites,Clinical Notes,"Monitor for neurological side effects with high-dose ivermectin protocols, especially in susceptible breeds."
My rabbit has maggots near its tail (flystrike).,Parasites,Owner Observation,My rabbit has maggots near its tail (flystrike).
Hamster has wetness and irritation around its tail (wet tail).,Skin Irritations,Owner Observation,Hamster has wetness and irritation around its tail (wet tail).
My dog's poop is covered in slimy mucus.,Digestive Issues,Owner Observation,My dog's poop is covered in slimy mucus.
Consider referral to veterinary dermatologist for refractory cases.,Skin Irritations,Clinical Notes,Consider referral to veterinary dermatologist for refractory cases.
Puppy has roundworms and hookworms.,Parasites,Owner Observation,Puppy has roundworms and hookworms.
"Guinea pig has very rough, coarse fur and seems itchy.",Skin Irritations,Owner Observation,"Guinea pig has very rough, coarse fur and seems itchy."
My rabbit has swelling around the ear base.,Ear Infections,Owner Observation,My rabbit has swelling around the ear base.
I found a live flea crawling on my arm after holding the cat.,Parasites,Owner Observation,I found a live flea crawling on my arm after holding the cat.
Dog is anemic due to a heavy hookworm burden.,Parasites,Owner Observation,Dog is anemic due to a heavy hookworm burden.
Rabbit has ear mites causing inflammation and head tilt.,Parasites,Owner Observation,Rabbit has ear mites causing inflammation and head tilt.
"Cat has a swollen area on her face, like an abscess.",Skin Irritations,Owner Observation,"Cat has a swollen area on her face, like an abscess."
My cat has fleas and tapeworms.,Parasites,Owner Observation,My cat has fleas and tapeworms.
My cat has a droopy eyelid and unequal pupil size on the side with the bad ear.,Ear Infections,Owner Observation,My cat has a droopy eyelid and unequal pupil size on the side with the bad ear.
Ear mites in canal; clean and apply selamectin.,Parasites,Clinical Notes,Ear mites in canal; clean and apply selamectin.
"Lameness exam reveals moderate weight-bearing lameness, left forelimb (Grade 3/5).",Mobility Problems,Clinical Notes,"Lameness exam reveals moderate weight-bearing lameness, left forelimb (Grade 3/5)."
"Guinea pig has white, powdery stuff in its fur.",Parasites,Owner Observation,"Guinea pig has white, powdery stuff in its fur."
Rabbit is reluctant to be picked up.,Mobility Problems,Owner Observation,Rabbit is reluctant to be picked up.
Vasculitis causing necrosis of ear tip; investigate underlying infectious/immune-mediated cause.,Skin Irritations,Clinical Notes,Vasculitis causing necrosis of ear tip; investigate underlying infectious/immune-mediated cause.
Schedule recheck in 14 days. Instruct owner to monitor for improvement/worsening of signs.,Ear Infections,Clinical Notes,Schedule recheck in 14 days. Instruct owner to monitor for improvement/worsening of signs.
My dog has mucus covering his stool.,Digestive Issues,Owner Observation,My dog has mucus covering his stool.
"Kitten has crusty discharge around its eyes and nose, along with skin sores.",Skin Irritations,Owner Observation,"Kitten has crusty discharge around its eyes and nose, along with skin sores."
"My dog has environmental allergies (pollens, dust mites) causing ear issues.",Ear Infections,Owner Observation,"My dog has environmental allergies (pollens, dust mites) causing ear issues."
"Abdomen tense and painful on palpation, particularly cranial abdomen. Rule out pancreatitis.",Digestive Issues,Clinical Notes,"Abdomen tense and painful on palpation, particularly cranial abdomen. Rule out pancreatitis."
"Schedule recheck appointments for heartworm treatment monitoring (antigen tests, radiographs).",Parasites,Clinical Notes,"Schedule recheck appointments for heartworm treatment monitoring (antigen tests, radiographs)."
Caudal hip luxation identified; attempt closed reduction under anesthesia.,Mobility Problems,Clinical Notes,Caudal hip luxation identified; attempt closed reduction under anesthesia.
Prescribe meclizine for symptomatic relief of nausea associated with vestibular condition.,Ear Infections,Clinical Notes,Prescribe meclizine for symptomatic relief of nausea associated with vestibular condition.
Advise steam cleaning or dilute bleach solution for environmental Coccidia control.,Parasites,Clinical Notes,Advise steam cleaning or dilute bleach solution for environmental Coccidia control.
"My dog's elbows are calloused, dark, and sometimes cracked.",Skin Irritations,Owner Observation,"My dog's elbows are calloused, dark, and sometimes cracked."
"Otoscopy reveals copious dark brown, granular debris bilaterally. Microscopic exam confirms Otodectes cynotis mites.",Parasites,Clinical Notes,"Otoscopy reveals copious dark brown, granular debris bilaterally. Microscopic exam confirms Otodectes cynotis mites."
My cat seems to gag or cough after eating.,Digestive Issues,Owner Observation,My cat seems to gag or cough after eating.
My cat threw up clear liquid this morning and seems quiet.,Digestive Issues,Owner Observation,My cat threw up clear liquid this morning and seems quiet.
My dog is excessively gassy and burping.,Digestive Issues,Owner Observation,My dog is excessively gassy and burping.
My dog has elbow dysplasia causing forelimb lameness.,Mobility Problems,Owner Observation,My dog has elbow dysplasia causing forelimb lameness.
Guinea pig is losing weight rapidly and has diarrhea.,Digestive Issues,Owner Observation,Guinea pig is losing weight rapidly and has diarrhea.
"My cat has lungworm, diagnosed after chronic coughing.",Parasites,Owner Observation,"My cat has lungworm, diagnosed after chronic coughing."
Gastric dilatation-volvulus (GDV) suspected; immediate stabilization and surgery required.,Digestive Issues,Clinical Notes,Gastric dilatation-volvulus (GDV) suspected; immediate stabilization and surgery required.
Rabbit has hair loss and crusting around the base of the affected ear.,Ear Infections,Owner Observation,Rabbit has hair loss and crusting around the base of the affected ear.
My dog's ear flap swelled up suddenly like a water balloon.,Ear Infections,Owner Observation,My dog's ear flap swelled up suddenly like a water balloon.
My rabbit is losing fur in clumps when I pet it.,Skin Irritations,Owner Observation,My rabbit is losing fur in clumps when I pet it.
Cat has bad gas and occasional vomiting.,Digestive Issues,Owner Observation,Cat has bad gas and occasional vomiting.
Post-clipping alopecia noted; reassure owner hair regrowth may be slow.,Skin Irritations,Clinical Notes,Post-clipping alopecia noted; reassure owner hair regrowth may be slow.
Disseminated histoplasmosis can cause chronic large bowel diarrhea and weight loss; check urine antigen test.,Digestive Issues,Clinical Notes,Disseminated histoplasmosis can cause chronic large bowel diarrhea and weight loss; check urine antigen test.
Flush ears gently under sedation due to pain and debris.,Ear Infections,Clinical Notes,Flush ears gently under sedation due to pain and debris.
Cat seems less interested in playing with toys.,Mobility Problems,Owner Observation,Cat seems less interested in playing with toys.
Megacolon diagnosed radiographically in feline patient.,Digestive Issues,Clinical Notes,Megacolon diagnosed radiographically in feline patient.
Assess response to antibiotic therapy in 2 weeks.,Skin Irritations,Clinical Notes,Assess response to antibiotic therapy in 2 weeks.
"Record cytology findings (yeast, bacteria types, inflammatory cells).",Ear Infections,Clinical Notes,"Record cytology findings (yeast, bacteria types, inflammatory cells)."
"Rabbit has white, crusty deposits in its ears.",Skin Irritations,Owner Observation,"Rabbit has white, crusty deposits in its ears."
My dog has developed a lump that seems attached to the skin.,Skin Irritations,Owner Observation,My dog has developed a lump that seems attached to the skin.
"Rabbit seems to have lost its balance, stumbling.",Ear Infections,Owner Observation,"Rabbit seems to have lost its balance, stumbling."
"Constipated feline; administer Miralax/lactulose and recommend increasing water intake (wet food, fountain).",Digestive Issues,Clinical Notes,"Constipated feline; administer Miralax/lactulose and recommend increasing water intake (wet food, fountain)."
Positive Ortolani sign confirms hip laxity in juvenile patient.,Mobility Problems,Clinical Notes,Positive Ortolani sign confirms hip laxity in juvenile patient.
My dog holds up his back leg occasionally when walking ('skipping').,Mobility Problems,Owner Observation,My dog holds up his back leg occasionally when walking ('skipping').
Rabbit has lost fur on its nose from rubbing cage bars.,Skin Irritations,Owner Observation,Rabbit has lost fur on its nose from rubbing cage bars.
My dog seems to have lost coordination in his hind limbs.,Mobility Problems,Owner Observation,My dog seems to have lost coordination in his hind limbs.
"Dog ate chocolate, now vomiting and hyperactive.",Digestive Issues,Owner Observation,"Dog ate chocolate, now vomiting and hyperactive."
Ferret is rubbing its body against furniture frequently.,Skin Irritations,Owner Observation,Ferret is rubbing its body against furniture frequently.
Pruritus and erythema on belly; test for atopy.,Skin Irritations,Clinical Notes,Pruritus and erythema on belly; test for atopy.
My dog might have gotten water in his ear during his bath.,Ear Infections,Owner Observation,My dog might have gotten water in his ear during his bath.
"Provide supportive care (iron supplementation, blood transfusion if necessary) for severe parasite-induced anemia.",Parasites,Clinical Notes,"Provide supportive care (iron supplementation, blood transfusion if necessary) for severe parasite-induced anemia."
Fecal examination positive for Cystoisospora spp. oocysts (Coccidia).,Parasites,Clinical Notes,Fecal examination positive for Cystoisospora spp. oocysts (Coccidia).
Found multiple ticks on my dog after a walk in the woods.,Parasites,Owner Observation,Found multiple ticks on my dog after a walk in the woods.
Canine 4Dx Plus SNAP test positive for Anaplasma phagocytophilum antibodies.,Parasites,Clinical Notes,Canine 4Dx Plus SNAP test positive for Anaplasma phagocytophilum antibodies.
There's a foul odor coming from my cat's ears.,Ear Infections,Owner Observation,There's a foul odor coming from my cat's ears.
Localized demodicosis in young dog often resolves without treatment; monitor.,Parasites,Clinical Notes,Localized demodicosis in young dog often resolves without treatment; monitor.
Puppy is being treated for Sarcoptic mange (scabies).,Parasites,Owner Observation,Puppy is being treated for Sarcoptic mange (scabies).
Perform skin biopsy if mites suspected but scrapes are negative.,Parasites,Clinical Notes,Perform skin biopsy if mites suspected but scrapes are negative.
Rabbit has stopped grooming itself and looks unkempt.,Digestive Issues,Owner Observation,Rabbit has stopped grooming itself and looks unkempt.
