query,true_condition,animal_filter,top1_condition,retrieved_conditions,correct_rank,hit_at_1,hit_at_3,hit_at_5,top1_text,top1_score
My rabbit has fur mites (Cheyletiella).,Parasites,,Ear Infections,"['Ear Infections', 'Mobility Problems', 'Parasites', 'Parasites', 'Parasites']",3.0,False,True,True,Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,0.6582704782485962
My ferret's skin looks yellowish and he's losing fur.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Skin fragility noted; test for FIV/FeLV in feline patient.,0.6695115566253662
"My puppy has dark specks in his ears, vet suspected mites.",Ear Infections,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Parasites', 'Ear Infections', 'Parasites']",2.0,False,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.6995798945426941
"Hamster is scratching incessantly, causing small wounds.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Crusting lesions on flanks; antifungal cream advised.,0.6092680096626282
Dog has a ruptured eardrum from a chronic infection.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Digestive Issues', 'Ear Infections']",1.0,True,True,True,Check thyroid levels in dogs with recurrent infections.,0.6569585204124451
My cat tries to vomit frequently but only retches.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.6233236789703369
"Cat has visibly swollen joints, especially her wrists (carpi).",Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Mobility Problems', 'Skin Irritations', 'Mobility Problems', 'Mobility Problems']",2.0,False,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6572716236114502
My cat is holding her head tilted to one side.,Ear Infections,,Skin Irritations,"['Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Ear Infections', 'Mobility Problems']",4.0,False,False,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6081854104995728
Cat looks carefully before jumping down from even low heights.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Mobility Problems', 'Digestive Issues', 'Digestive Issues', 'Skin Irritations']",2.0,False,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.5822203159332275
My hamster’s stools are watery and frequent.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Parasites']",1.0,True,True,True,"Wet tail in hamster; guarded prognosis, provide heat support, antibiotics, fluids.",0.637496829032898
My puppy eats constantly but is skinny and has soft poop.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Advise slow transition when changing pet foods.,0.6356277465820312
Rabbit has ear mites causing thick crusts.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Skin Irritations', 'Parasites', 'Ear Infections']",1.0,True,True,True,Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,0.7725830078125
My dog's thigh muscles look smaller than they used to.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Mobility Problems', 'Digestive Issues', 'Mobility Problems']",2.0,False,True,True,Advise slow transition when changing pet foods.,0.6137597560882568
"Dog has diarrhea that smells metallic, like blood.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Blood in stool; rule out ulceration.,0.6437733173370361
"My cat used to love chasing laser pointers, now she just watches.",Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Skin Irritations', 'Parasites', 'Skin Irritations']",,False,False,False,Advise slow transition when changing pet foods.,0.5320448279380798
Dog is licking obsessively at a spot between his shoulder blades.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations']",1.0,True,True,True,Trichogram reveals damaged hair shafts consistent with excessive licking.,0.6147964000701904
My dog whimpers when he tries to jump onto the bed.,Mobility Problems,,Parasites,"['Parasites', 'Ear Infections', 'Ear Infections', 'Parasites', 'Digestive Issues']",,False,False,False,Discuss potential for parasite transmission between household pets.,0.5844437479972839
Dog's ear canal bleeds easily when cleaned.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Skin Irritations', 'Ear Infections', 'Parasites']",1.0,True,True,True,Flush ears gently under sedation due to pain and debris.,0.6514337062835693
Rabbit has flaky skin on the outside of its ear flaps.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Parasites', 'Ear Infections', 'Skin Irritations']",1.0,True,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.676577091217041
Found a tick embedded in my cat's skin after she was outside.,Parasites,,Parasites,"['Parasites', 'Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Parasites']",1.0,True,True,True,Ticks embedded in fur; remove and treat.,0.7235271334648132
Cat has hair loss around the eyes and ears.,Parasites,,Digestive Issues,"['Digestive Issues', 'Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Skin Irritations']",,False,False,False,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.6682807207107544
"My dog has developed red, itchy patches on his belly and inner thighs.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Eosinophilic plaque identified on feline abdomen; consider allergy vs. parasitic cause. Cytology performed.,0.6759358048439026
My rabbit is scratching its dewlap constantly.,Skin Irritations,,Parasites,"['Parasites', 'Ear Infections', 'Mobility Problems', 'Parasites', 'Ear Infections']",,False,False,False,Ensure rabbit environment is clean to prevent flystrike.,0.6386316418647766
"Rabbit is moving very little, seems painful.",Ear Infections,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Digestive Issues', 'Digestive Issues', 'Parasites']",,False,False,False,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6509702205657959
Cat's chin has blackheads and some pimple-like sores (chin acne).,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,Feline acne present on chin; comedones and secondary infection noted.,0.7018368244171143
My dog developed a head tilt and seems dizzy.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Ear Infections', 'Mobility Problems', 'Skin Irritations']",4.0,False,False,True,Psychogenic alopecia diagnosed in feline patient; behavioral modification and medication discussed.,0.6578657627105713
My cat vomited a plant leaf.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Skin Irritations', 'Digestive Issues']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.6733315587043762
Cat got diarrhea after drinking milk.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.634400486946106
My ferret shakes his head after I clean his ears.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Skin Irritations']",1.0,True,True,True,Demonstrate ear cleaning technique to owner.,0.6781438589096069
My rabbit has maggots near its tail (flystrike).,Parasites,,Parasites,"['Parasites', 'Parasites', 'Mobility Problems', 'Skin Irritations', 'Parasites']",1.0,True,True,True,Ensure rabbit environment is clean to prevent flystrike.,0.7508347034454346
Hamster has wetness and irritation around its tail (wet tail).,Skin Irritations,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",3.0,False,True,True,"Wet tail (proliferative ileitis) in hamster; guarded prognosis. Initiate supportive care (fluids, antibiotics, heat).",0.7481586933135986
My dog's poop is covered in slimy mucus.,Digestive Issues,,Parasites,"['Parasites', 'Digestive Issues', 'Parasites', 'Skin Irritations', 'Ear Infections']",2.0,False,True,True,Pediculosis (Linognathus setosus - dog sucking louse) identified. Treat with fipronil or selamectin.,0.6521172523498535
Puppy has roundworms and hookworms.,Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Parasites', 'Ear Infections']",1.0,True,True,True,Roundworm infection; start pyrantel therapy.,0.6666091680526733
"Guinea pig has very rough, coarse fur and seems itchy.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Parasites', 'Mobility Problems', 'Parasites']",1.0,True,True,True,"Pododermatitis in guinea pig; assess husbandry (substrate, cleanliness), rule out infection/scurvy.",0.6186165809631348
My rabbit has swelling around the ear base.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Parasites', 'Mobility Problems', 'Skin Irritations']",1.0,True,True,True,Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,0.6885370016098022
I found a live flea crawling on my arm after holding the cat.,Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Skin Irritations', 'Parasites']",1.0,True,True,True,Provide handout on flea control.,0.6113806366920471
Dog is anemic due to a heavy hookworm burden.,Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Ear Infections', 'Digestive Issues']",1.0,True,True,True,"Anemia (low PCV) noted, likely secondary to heavy hookworm or flea burden.",0.7409248352050781
Rabbit has ear mites causing inflammation and head tilt.,Parasites,,Ear Infections,"['Ear Infections', 'Mobility Problems', 'Ear Infections', 'Ear Infections', 'Skin Irritations']",,False,False,False,Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,0.7629745602607727
"Cat has a swollen area on her face, like an abscess.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6462432742118835
My cat has fleas and tapeworms.,Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Discuss importance of treating all pets in household for fleas/mites.,0.6514558792114258
My cat has a droopy eyelid and unequal pupil size on the side with the bad ear.,Ear Infections,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Nasopharyngeal polyp visualized extending into external ear canal in young cat.,0.6126126646995544
"Guinea pig has white, powdery stuff in its fur.",Parasites,,Parasites,"['Parasites', 'Skin Irritations', 'Parasites', 'Mobility Problems', 'Mobility Problems']",1.0,True,True,True,Ticks embedded in fur; remove and treat.,0.586254358291626
Rabbit is reluctant to be picked up.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Parasites', 'Digestive Issues', 'Digestive Issues', 'Mobility Problems']",1.0,True,True,True,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",0.6164369583129883
My dog has mucus covering his stool.,Digestive Issues,,Ear Infections,"['Ear Infections', 'Parasites', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",3.0,False,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.672584593296051
"Kitten has crusty discharge around its eyes and nose, along with skin sores.",Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Skin Irritations', 'Skin Irritations']",1.0,True,True,True,Excoriations around ears and neck; check for ear mites and fleas.,0.6458197236061096
"My dog has environmental allergies (pollens, dust mites) causing ear issues.",Ear Infections,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections', 'Parasites']",4.0,False,False,True,Pruritus and erythema on ears; topical therapy prescribed.,0.6794826984405518
"My dog's elbows are calloused, dark, and sometimes cracked.",Skin Irritations,,Mobility Problems,"['Mobility Problems', 'Skin Irritations', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations']",2.0,False,True,True,"Radiographs reveal osteophytes, sclerosis, and possible UAP/FCP in left elbow.",0.6446508765220642
My cat seems to gag or cough after eating.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Vomiting post-meal; test for food intolerance.,0.6491150856018066
My cat threw up clear liquid this morning and seems quiet.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,"Constipated feline; administer Miralax/lactulose and recommend increasing water intake (wet food, fountain).",0.5807112455368042
My dog is excessively gassy and burping.,Digestive Issues,,Ear Infections,"['Ear Infections', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",2.0,False,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6423989534378052
My dog has elbow dysplasia causing forelimb lameness.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Mobility Problems', 'Mobility Problems', 'Mobility Problems']",2.0,False,True,True,"Chronic intermittent vomiting in feline; consider IBD, food allergy, lymphoma.",0.650932788848877
Guinea pig is losing weight rapidly and has diarrhea.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Mobility Problems', 'Mobility Problems', 'Digestive Issues']",1.0,True,True,True,Diarrhea with weight loss; check thyroid levels.,0.6494511961936951
"My cat has lungworm, diagnosed after chronic coughing.",Parasites,,Parasites,"['Parasites', 'Digestive Issues', 'Parasites', 'Parasites', 'Digestive Issues']",1.0,True,True,True,"Lungworm (e.g., Aelurostrongylus abstrusus in cats) suspected based on respiratory signs; Baermann fecal analysis recommended.",0.6995957493782043
Rabbit has hair loss and crusting around the base of the affected ear.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Mobility Problems', 'Parasites', 'Ear Infections']",1.0,True,True,True,Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,0.7260812520980835
My dog's ear flap swelled up suddenly like a water balloon.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,Recommend ear drying solution after swimming or bathing for predisposed dogs.,0.6488438248634338
My rabbit is losing fur in clumps when I pet it.,Skin Irritations,,Parasites,"['Parasites', 'Parasites', 'Skin Irritations', 'Ear Infections', 'Parasites']",3.0,False,True,True,Ensure rabbit environment is clean to prevent flystrike.,0.5956921577453613
Cat has bad gas and occasional vomiting.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Digestive Issues']",1.0,True,True,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.7045873403549194
Cat seems less interested in playing with toys.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Ear Infections']",,False,False,False,Advise slow transition when changing pet foods.,0.5717695951461792
"Rabbit has white, crusty deposits in its ears.",Skin Irritations,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Ear Infections', 'Ear Infections', 'Skin Irritations']",2.0,False,True,True,Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,0.6929426789283752
My dog has developed a lump that seems attached to the skin.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Digestive Issues', 'Skin Irritations']",1.0,True,True,True,Immune-mediated skin condition suspected; requires further workup.,0.6850377917289734
"Rabbit seems to have lost its balance, stumbling.",Ear Infections,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Digestive Issues', 'Parasites', 'Ear Infections']",5.0,False,False,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6820247769355774
My dog holds up his back leg occasionally when walking ('skipping').,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Mobility Problems', 'Skin Irritations', 'Digestive Issues']",1.0,True,True,True,"Gait analysis performed: observe walk, trot, turning, stairs.",0.6241440773010254
Rabbit has lost fur on its nose from rubbing cage bars.,Skin Irritations,,Digestive Issues,"['Digestive Issues', 'Parasites', 'Mobility Problems', 'Ear Infections', 'Parasites']",,False,False,False,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.605462908744812
My dog seems to have lost coordination in his hind limbs.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Ear Infections', 'Mobility Problems', 'Mobility Problems']",1.0,True,True,True,Absence of withdrawal reflex in hind limbs.,0.6789001226425171
"Dog ate chocolate, now vomiting and hyperactive.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Ear Infections', 'Digestive Issues']",1.0,True,True,True,Vomiting post-meal; test for food intolerance.,0.6545456647872925
Ferret is rubbing its body against furniture frequently.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Parasites', 'Parasites', 'Skin Irritations', 'Mobility Problems']",1.0,True,True,True,Skin fragility noted; test for FIV/FeLV in feline patient.,0.5677531957626343
My dog might have gotten water in his ear during his bath.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Parasites', 'Parasites']",1.0,True,True,True,Recommend ear drying solution after swimming or bathing for predisposed dogs.,0.7606610059738159
Found multiple ticks on my dog after a walk in the woods.,Parasites,,Parasites,"['Parasites', 'Ear Infections', 'Ear Infections', 'Parasites', 'Parasites']",1.0,True,True,True,Ticks embedded in fur; remove and treat.,0.6792604923248291
There's a foul odor coming from my cat's ears.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Skin Irritations']",1.0,True,True,True,Nasopharyngeal polyp visualized extending into external ear canal in young cat.,0.6767547726631165
Puppy is being treated for Sarcoptic mange (scabies).,Parasites,,Parasites,"['Parasites', 'Parasites', 'Parasites', 'Parasites', 'Skin Irritations']",1.0,True,True,True,"Initiate treatment for sarcoptic mange (e.g., selamectin, ivermectin, isoxazoline).",0.7423185110092163
Rabbit has stopped grooming itself and looks unkempt.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Ear Infections', 'Parasites', 'Digestive Issues']",1.0,True,True,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6449494361877441
"Cat's ears are very itchy and painful, she cries when I touch them.",Parasites,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections']",,False,False,False,Flush ears gently under sedation due to pain and debris.,0.6165085434913635
Cat has a soft tissue injury (sprain/strain).,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations', 'Skin Irritations']",3.0,False,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6945797801017761
The dog keeps licking one spot on his front leg until it's raw.,Skin Irritations,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Parasites', 'Parasites']",2.0,False,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.5584326982498169
Cat walks very slowly and cautiously.,Mobility Problems,,Digestive Issues,"['Digestive Issues', 'Skin Irritations', 'Mobility Problems', 'Skin Irritations', 'Digestive Issues']",3.0,False,True,True,Advise slow transition when changing pet foods.,0.6428529024124146
"My cat has Toxoplasma, I'm pregnant and concerned.",Parasites,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Skin Irritations', 'Ear Infections', 'Parasites']",5.0,False,False,True,"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting.",0.6234739422798157
My puppy has dandruff only a few days after a bath.,Skin Irritations,,Parasites,"['Parasites', 'Ear Infections', 'Parasites', 'Ear Infections', 'Digestive Issues']",,False,False,False,Advise bathing pet with appropriate shampoo to remove flea dirt/scales.,0.6293424367904663
My cat tested positive for Giardia after having diarrhea.,Parasites,,Digestive Issues,"['Digestive Issues', 'Parasites', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",2.0,False,True,True,Diarrhea with mucus; test for giardia.,0.6973587274551392
My dog's paw pads are cracked and bleeding.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Parasites', 'Mobility Problems', 'Parasites', 'Skin Irritations']",1.0,True,True,True,Erythema and scaling on paws; soak and medicate.,0.6679460406303406
"My puppy seems to have a sensitive stomach, gets diarrhea easily.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Skin Irritations']",1.0,True,True,True,"Recommend highly digestible therapeutic diet (e.g., Hill's i/d, Royal Canin GI).",0.6534954309463501
My cat's ear infection is resistant to multiple antibiotics.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Skin Irritations', 'Ear Infections']",1.0,True,True,True,Yeast and bacteria in ear; prescribe dual therapy.,0.6537588834762573
Cat developed sudden loss of balance and circling.,Ear Infections,,Digestive Issues,"['Digestive Issues', 'Skin Irritations', 'Skin Irritations', 'Digestive Issues', 'Ear Infections']",5.0,False,False,True,Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,0.6645420789718628
"My dog has scabies, and now I'm itchy too!",Parasites,,Ear Infections,"['Ear Infections', 'Parasites', 'Ear Infections', 'Skin Irritations', 'Parasites']",2.0,False,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6175151467323303
"Dog ate grapes off the counter, now vomiting.",Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Ear Infections']",1.0,True,True,True,Vomiting post-meal; test for food intolerance.,0.6582239866256714
"Dog has oily, smelly skin, especially along the back.",Skin Irritations,,Parasites,"['Parasites', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections']",2.0,False,True,True,Advise bathing pet with appropriate shampoo to remove flea dirt/scales.,0.6628961563110352
My dog's ear infections are a chronic problem requiring ongoing care.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,Long-term maintenance therapy with weekly ear cleaner/medication may be required.,0.7183983325958252
Cat's ear canal looks very narrow.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Parasites', 'Ear Infections']",1.0,True,True,True,Nasopharyngeal polyp visualized extending into external ear canal in young cat.,0.7219485640525818
My dog contracted Babesia from a tick.,Parasites,,Parasites,"['Parasites', 'Parasites', 'Ear Infections', 'Ear Infections', 'Parasites']",1.0,True,True,True,Babesia canis identified via PCR. Treatment options discussed (imidocarb dipropionate).,0.6581823825836182
Rabbit has E. cuniculi infection causing neurological/mobility issues.,Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Mobility Problems', 'Ear Infections', 'Ear Infections', 'Parasites']",1.0,True,True,True,"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",0.7497818470001221
"My dog suddenly couldn't stand up this morning, crying in pain.",Mobility Problems,,Mobility Problems,"['Mobility Problems', 'Skin Irritations', 'Ear Infections', 'Ear Infections', 'Ear Infections']",1.0,True,True,True,"Panosteitis suspected in young, large breed dog with shifting leg lameness and long bone pain on palpation.",0.6103466153144836
Cat reacted painfully when the vet extended her hind legs.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Digestive Issues', 'Mobility Problems', 'Skin Irritations', 'Ear Infections']",3.0,False,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6096088290214539
"My cat only poops every 3-4 days, and the stool is very hard.",Digestive Issues,,Parasites,"['Parasites', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",2.0,False,True,True,Repeat fecal examination in 2-4 weeks to ensure parasite clearance.,0.5934901237487793
Guinea pig has flaky skin around its eyes.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Parasites', 'Skin Irritations']",1.0,True,True,True,Skin fragility noted; test for FIV/FeLV in feline patient.,0.621074914932251
My budgie has crusty growths around its beak and legs.,Parasites,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Mobility Problems']",,False,False,False,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6567862629890442
My cat has developed small scabs scattered throughout her coat.,Skin Irritations,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Parasites', 'Skin Irritations']",1.0,True,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6314136981964111
"Cat's claws seem overgrown, maybe not scratching post due to pain.",Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Skin Irritations', 'Ear Infections']",,False,False,False,Excoriations on tail; rule out flea hypersensitivity.,0.6393014192581177
My rabbit stopped eating hay and seems lethargic.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Mobility Problems', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",0.6613614559173584
Cat developed arthritis in her elbow after an old fracture.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Mobility Problems', 'Digestive Issues', 'Mobility Problems']",3.0,False,True,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6588459014892578
"Dog's limp is barely noticeable after warming up, but bad when first rising.",Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Mobility Problems', 'Mobility Problems', 'Digestive Issues', 'Mobility Problems']",2.0,False,True,True,"Histiocytoma observed on young dog's limb; typically benign, monitor for regression.",0.5961496829986572
Dog is licking the air and swallowing repeatedly.,Digestive Issues,,Ear Infections,"['Ear Infections', 'Skin Irritations', 'Digestive Issues', 'Skin Irritations', 'Skin Irritations']",3.0,False,True,True,Dog has a Malassezia (yeast) overgrowth causing otitis.,0.6160321235656738
Ferret is vomiting undigested food shortly after eating.,Digestive Issues,,Digestive Issues,"['Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues', 'Digestive Issues']",1.0,True,True,True,Vomiting post-meal; test for food intolerance.,0.7294792532920837
Cat cries out when I pick her up around her hips.,Mobility Problems,,Skin Irritations,"['Skin Irritations', 'Skin Irritations', 'Digestive Issues', 'Ear Infections', 'Mobility Problems']",5.0,False,False,True,"Skin fragility syndrome noted in older cat; handle with care, check for hyperadrenocorticism.",0.6096822023391724
My ferret shakes its head after cleaning.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Parasites', 'Ear Infections']",1.0,True,True,True,Demonstrate ear cleaning technique to owner.,0.6060307621955872
Puppy has moisture in his ears after playing in water.,Ear Infections,,Ear Infections,"['Ear Infections', 'Ear Infections', 'Ear Infections', 'Ear Infections', 'Skin Irritations']",1.0,True,True,True,Recommend ear drying solution after swimming or bathing for predisposed dogs.,0.7168506383895874
