text,condition,record_type,clean_text
Positive Ortolani sign confirms hip laxity in juvenile patient.,Mobility Problems,Clinical Notes,Positive Ortolani sign confirms hip laxity in juvenile patient.
Pruritus and erythema on belly; test for atopy.,Skin Irritations,Clinical Notes,Pruritus and erythema on belly; test for atopy.
"Provide supportive care (iron supplementation, blood transfusion if necessary) for severe parasite-induced anemia.",Parasites,Clinical Notes,"Provide supportive care (iron supplementation, blood transfusion if necessary) for severe parasite-induced anemia."
Fecal examination positive for Cystoisospora spp. oocysts (Coccidia).,Parasites,Clinical Notes,Fecal examination positive for Cystoisospora spp. oocysts (Coccidia).
Canine 4Dx Plus SNAP test positive for Anaplasma phagocytophilum antibodies.,Parasites,Clinical Notes,Canine 4Dx Plus SNAP test positive for Anaplasma phagocytophilum antibodies.
Localized demodicosis in young dog often resolves without treatment; monitor.,Parasites,Clinical Notes,Localized demodicosis in young dog often resolves without treatment; monitor.
Perform skin biopsy if mites suspected but scrapes are negative.,Parasites,Clinical Notes,Perform skin biopsy if mites suspected but scrapes are negative.
"Prescribe broad-spectrum dewormer (e.g., fenbendazole, pyrantel/praziquantel combo) based on fecal results.",Parasites,Clinical Notes,"Prescribe broad-spectrum dewormer (e.g., fenbendazole, pyrantel/praziquantel combo) based on fecal results."
Rectal stricture identified on digital exam.,Digestive Issues,Clinical Notes,Rectal stricture identified on digital exam.
Constipation noted; administer enema and start lactulose.,Digestive Issues,Clinical Notes,Constipation noted; administer enema and start lactulose.
"Supportive care (fluids, nutritional support) for severely debilitated animals.",Parasites,Clinical Notes,"Supportive care (fluids, nutritional support) for severely debilitated animals."
Cervical spondylomyelopathy (Wobbler syndrome) suspected; MRI needed for definitive diagnosis and surgical planning.,Mobility Problems,Clinical Notes,Cervical spondylomyelopathy (Wobbler syndrome) suspected; MRI needed for definitive diagnosis and surgical planning.
"Mild weight-bearing lameness RF (Grade 2/5), worse after rest.",Mobility Problems,Clinical Notes,"Mild weight-bearing lameness RF (Grade 2/5), worse after rest."
Cheyletiella mites ('walking dandruff') identified on surface tape prep.,Skin Irritations,Clinical Notes,Cheyletiella mites ('walking dandruff') identified on surface tape prep.
Trial of amantadine added to NSAID/gabapentin for refractory OA pain (NMDA receptor antagonist).,Mobility Problems,Clinical Notes,Trial of amantadine added to NSAID/gabapentin for refractory OA pain (NMDA receptor antagonist).
Administer Capstar (nitenpyram) for rapid flea kill.,Parasites,Clinical Notes,Administer Capstar (nitenpyram) for rapid flea kill.
Check FeLV/FIV status in cats with demodicosis.,Parasites,Clinical Notes,Check FeLV/FIV status in cats with demodicosis.
Continue treatment for 7 days past clinical resolution.,Ear Infections,Clinical Notes,Continue treatment for 7 days past clinical resolution.
Proglottids consistent with Dipylidium caninum identified on perineal fur. Recommend concurrent flea treatment.,Parasites,Clinical Notes,Proglottids consistent with Dipylidium caninum identified on perineal fur. Recommend concurrent flea treatment.
Discuss Adequan (polysulfated glycosaminoglycan) injections for OA management.,Mobility Problems,Clinical Notes,Discuss Adequan (polysulfated glycosaminoglycan) injections for OA management.
Recheck scheduled in 2-3 weeks to assess response to therapy.,Skin Irritations,Clinical Notes,Recheck scheduled in 2-3 weeks to assess response to therapy.
Administer gabapentin or amantadine for neuropathic pain/chronic OA pain.,Mobility Problems,Clinical Notes,Administer gabapentin or amantadine for neuropathic pain/chronic OA pain.
Schedule follow-up appointment or phone call.,Digestive Issues,Clinical Notes,Schedule follow-up appointment or phone call.
Rule out parasites as a cause of chronic GI or skin condition.,Parasites,Clinical Notes,Rule out parasites as a cause of chronic GI or skin condition.
Administer praziquantel for tapeworm treatment.,Parasites,Clinical Notes,Administer praziquantel for tapeworm treatment.
Allergic shiners (darkening around eyes) noted in atopic dog.,Skin Irritations,Clinical Notes,Allergic shiners (darkening around eyes) noted in atopic dog.
"Systemic antifungals (e.g., ketoconazole, itraconazole) may be needed for resistant Malassezia.",Ear Infections,Clinical Notes,"Systemic antifungals (e.g., ketoconazole, itraconazole) may be needed for resistant Malassezia."
"Treat ear mites with topical acaricide (e.g., selamectin, moxidectin). Clean ears prior to treatment.",Parasites,Clinical Notes,"Treat ear mites with topical acaricide (e.g., selamectin, moxidectin). Clean ears prior to treatment."
Suspect supraspinatus tendinopathy; diagnostic musculoskeletal ultrasound recommended.,Mobility Problems,Clinical Notes,Suspect supraspinatus tendinopathy; diagnostic musculoskeletal ultrasound recommended.
Culture results: Pseudomonas aeruginosa resistant to multiple antibiotics; consult sensitivity report.,Skin Irritations,Clinical Notes,Culture results: Pseudomonas aeruginosa resistant to multiple antibiotics; consult sensitivity report.
Vasculitis causing ear tip necrosis; investigate underlying cause.,Skin Irritations,Clinical Notes,Vasculitis causing ear tip necrosis; investigate underlying cause.
Schedule recheck based on severity and treatment plan.,Ear Infections,Clinical Notes,Schedule recheck based on severity and treatment plan.
Post-operative care instructions provided for aural hematoma repair.,Ear Infections,Clinical Notes,Post-operative care instructions provided for aural hematoma repair.
Eosinophilic plaque identified on feline abdomen; consider allergy vs. parasitic cause. Cytology performed.,Skin Irritations,Clinical Notes,Eosinophilic plaque identified on feline abdomen; consider allergy vs. parasitic cause. Cytology performed.
Vertical ear canal ablation (VECA) performed.,Ear Infections,Clinical Notes,Vertical ear canal ablation (VECA) performed.
Perform ACTH stimulation test to rule out Addison's.,Digestive Issues,Clinical Notes,Perform ACTH stimulation test to rule out Addison's.
"Wet tail (proliferative ileitis) in hamster; guarded prognosis. Initiate supportive care (fluids, antibiotics, heat).",Digestive Issues,Clinical Notes,"Wet tail (proliferative ileitis) in hamster; guarded prognosis. Initiate supportive care (fluids, antibiotics, heat)."
Seborrheic patches on belly; antifungal treatment started.,Skin Irritations,Clinical Notes,Seborrheic patches on belly; antifungal treatment started.
Lameness with pain; rule out bone tumor.,Mobility Problems,Clinical Notes,Lameness with pain; rule out bone tumor.
Acetate tape preparation reveals Cheyletiella spp. mites ('walking dandruff').,Parasites,Clinical Notes,Acetate tape preparation reveals Cheyletiella spp. mites ('walking dandruff').
"If FAD suspected, ensure effective flea control product is being used correctly.",Skin Irritations,Clinical Notes,"If FAD suspected, ensure effective flea control product is being used correctly."
Nasopharyngeal polyp visualized extending into external ear canal in young cat.,Ear Infections,Clinical Notes,Nasopharyngeal polyp visualized extending into external ear canal in young cat.
Lichenification and hyperpigmentation in axillary regions; chronic allergic skin condition likely.,Skin Irritations,Clinical Notes,Lichenification and hyperpigmentation in axillary regions; chronic allergic skin condition likely.
Ear infection with swelling; start combo drops.,Ear Infections,Clinical Notes,Ear infection with swelling; start combo drops.
"Hygroma noted on elbow; advise padded bedding, monitor for infection.",Skin Irritations,Clinical Notes,"Hygroma noted on elbow; advise padded bedding, monitor for infection."
"Document degree of stenosis, erythema, ulceration, and nature of discharge.",Ear Infections,Clinical Notes,"Document degree of stenosis, erythema, ulceration, and nature of discharge."
"Superficial pyoderma characterized by papules, pustules, and epidermal collarettes on ventral abdomen.",Skin Irritations,Clinical Notes,"Superficial pyoderma characterized by papules, pustules, and epidermal collarettes on ventral abdomen."
Fecal transplant considered for refractory Clostridium difficile.,Digestive Issues,Clinical Notes,Fecal transplant considered for refractory Clostridium difficile.
"Discuss underlying causes (allergies, conformation, moisture) and long-term management.",Ear Infections,Clinical Notes,"Discuss underlying causes (allergies, conformation, moisture) and long-term management."
"E. cuniculi suspected in rabbit with head tilt, ataxia, or hind limb paresis; treat with fenbendazole.",Mobility Problems,Clinical Notes,"E. cuniculi suspected in rabbit with head tilt, ataxia, or hind limb paresis; treat with fenbendazole."
Consider trial of pro-motility agent (metoclopramide or cisapride) for suspected gastric hypomotility.,Digestive Issues,Clinical Notes,Consider trial of pro-motility agent (metoclopramide or cisapride) for suspected gastric hypomotility.
Schedule recheck appointment in 1-2 weeks to assess initial response to pain medication.,Mobility Problems,Clinical Notes,Schedule recheck appointment in 1-2 weeks to assess initial response to pain medication.
Immune-mediated polyarthritis suspected based on multiple joint effusions and fever.,Mobility Problems,Clinical Notes,Immune-mediated polyarthritis suspected based on multiple joint effusions and fever.
Recommend weight loss program; current BCS 7/9. Target BCS 5/9.,Mobility Problems,Clinical Notes,Recommend weight loss program; current BCS 7/9. Target BCS 5/9.
Check for concurrent infections in immunocompromised animals.,Parasites,Clinical Notes,Check for concurrent infections in immunocompromised animals.
"Supportive care for pancreatitis: IV fluids, pain management (buprenorphine), anti-emetics, NPO initially.",Digestive Issues,Clinical Notes,"Supportive care for pancreatitis: IV fluids, pain management (buprenorphine), anti-emetics, NPO initially."
"Rule out systemic illness (e.g., fever, infection, metabolic condition) causing generalized weakness or lethargy.",Mobility Problems,Clinical Notes,"Rule out systemic illness (e.g., fever, infection, metabolic condition) causing generalized weakness or lethargy."
Video demonstration of ear cleaning provided to owner.,Ear Infections,Clinical Notes,Video demonstration of ear cleaning provided to owner.
Discuss risk of parasite exchange between different pet species in the household.,Parasites,Clinical Notes,Discuss risk of parasite exchange between different pet species in the household.
Provide estimate for diagnostic workup and treatment.,Skin Irritations,Clinical Notes,Provide estimate for diagnostic workup and treatment.
Pruritic lesions on tail; anti-itch spray prescribed.,Skin Irritations,Clinical Notes,Pruritic lesions on tail; anti-itch spray prescribed.
Radiographs show colon filled with large amount of inspissated feces; consistent with megacolon.,Digestive Issues,Clinical Notes,Radiographs show colon filled with large amount of inspissated feces; consistent with megacolon.
Assess panniculus reflex and deep pain sensation to localize spinal cord lesion.,Mobility Problems,Clinical Notes,Assess panniculus reflex and deep pain sensation to localize spinal cord lesion.
Recheck appointment scheduled to monitor progress.,Skin Irritations,Clinical Notes,Recheck appointment scheduled to monitor progress.
Ensure prescribed volume of medication is sufficient to coat the entire ear canal.,Ear Infections,Clinical Notes,Ensure prescribed volume of medication is sufficient to coat the entire ear canal.
Thoracic radiographs taken to screen for metastasis prior to amputation.,Mobility Problems,Clinical Notes,Thoracic radiographs taken to screen for metastasis prior to amputation.
"Discuss zoonotic potential of Salmonella, Campylobacter, Giardia, Toxocara.",Digestive Issues,Clinical Notes,"Discuss zoonotic potential of Salmonella, Campylobacter, Giardia, Toxocara."
Avascular necrosis of the femoral head (LCPD) confirmed radiographically. FHO surgery recommended.,Mobility Problems,Clinical Notes,Avascular necrosis of the femoral head (LCPD) confirmed radiographically. FHO surgery recommended.
"Multiple alopecic, scaling patches present; Wood's lamp negative, fungal culture pending for dermatophytosis.",Skin Irritations,Clinical Notes,"Multiple alopecic, scaling patches present; Wood's lamp negative, fungal culture pending for dermatophytosis."
"Perianal pruritus and erythema; anal sacs expressed (moderate amount, normal consistency), check for tapeworms/allergies.",Skin Irritations,Clinical Notes,"Perianal pruritus and erythema; anal sacs expressed (moderate amount, normal consistency), check for tapeworms/allergies."
"Fecal flotation positive for Trichuris vulpis eggs (+). Requires specific deworming protocol (e.g., fenbendazole x 3 days, repeat).",Parasites,Clinical Notes,"Fecal flotation positive for Trichuris vulpis eggs (+). Requires specific deworming protocol (e.g., fenbendazole x 3 days, repeat)."
Blood in stool; rule out ulceration.,Digestive Issues,Clinical Notes,Blood in stool; rule out ulceration.
Erythema and scaling on paws; soak and medicate.,Skin Irritations,Clinical Notes,Erythema and scaling on paws; soak and medicate.
Azotemia present (elevated BUN/Creatinine); differentiate pre-renal vs. renal vs. post-renal causes. Urinalysis needed.,Digestive Issues,Clinical Notes,Azotemia present (elevated BUN/Creatinine); differentiate pre-renal vs. renal vs. post-renal causes. Urinalysis needed.
Abdominal palpation reveals mild discomfort; no obvious foreign body palpated.,Digestive Issues,Clinical Notes,Abdominal palpation reveals mild discomfort; no obvious foreign body palpated.
Feline psychogenic alopecia suspected; rule out medical causes of pruritus first.,Skin Irritations,Clinical Notes,Feline psychogenic alopecia suspected; rule out medical causes of pruritus first.
Alopecia and redness on tail; rule out psychogenic causes.,Skin Irritations,Clinical Notes,Alopecia and redness on tail; rule out psychogenic causes.
Provide client education handout on managing allergic dermatitis.,Skin Irritations,Clinical Notes,Provide client education handout on managing allergic dermatitis.
Initiate course of Adequan (PSGAG) injections.,Mobility Problems,Clinical Notes,Initiate course of Adequan (PSGAG) injections.
Recheck skin scrapes monthly during Demodex treatment until two consecutive negative scrapes.,Parasites,Clinical Notes,Recheck skin scrapes monthly during Demodex treatment until two consecutive negative scrapes.
Biopsy of mass in ear canal submitted for histopathology.,Ear Infections,Clinical Notes,Biopsy of mass in ear canal submitted for histopathology.
"Heartworm treatment protocol initiated (doxycycline, preventative, melarsomine injections).",Parasites,Clinical Notes,"Heartworm treatment protocol initiated (doxycycline, preventative, melarsomine injections)."
Recommend omega-3 fatty acid supplementation to support skin barrier.,Skin Irritations,Clinical Notes,Recommend omega-3 fatty acid supplementation to support skin barrier.
"Severe ulcerative pododermatitis (bumblefoot) in guinea pig; debride, bandage, systemic antibiotics, improve husbandry.",Mobility Problems,Clinical Notes,"Severe ulcerative pododermatitis (bumblefoot) in guinea pig; debride, bandage, systemic antibiotics, improve husbandry."
Cytology of ear discharge reveals budding yeast (Malassezia).,Skin Irritations,Clinical Notes,Cytology of ear discharge reveals budding yeast (Malassezia).
Infraspinatus contracture noted.,Mobility Problems,Clinical Notes,Infraspinatus contracture noted.
Modify multimodal pain plan based on patient response and owner feedback.,Mobility Problems,Clinical Notes,Modify multimodal pain plan based on patient response and owner feedback.
Re-examine tympanic membrane after initial treatment and cleaning to assess integrity.,Ear Infections,Clinical Notes,Re-examine tympanic membrane after initial treatment and cleaning to assess integrity.
Purulent exudate present in vertical canal (AD - right ear); sample collected for culture and sensitivity.,Ear Infections,Clinical Notes,Purulent exudate present in vertical canal (AD - right ear); sample collected for culture and sensitivity.
Robert Jones bandage applied for temporary stabilization of tibial fracture.,Mobility Problems,Clinical Notes,Robert Jones bandage applied for temporary stabilization of tibial fracture.
"Recommend environmental flea treatment (vacuuming, washing bedding, premise spray).",Parasites,Clinical Notes,"Recommend environmental flea treatment (vacuuming, washing bedding, premise spray)."
Fecal microbiota transplantation (FMT) discussed as option for refractory chronic diarrhea.,Digestive Issues,Clinical Notes,Fecal microbiota transplantation (FMT) discussed as option for refractory chronic diarrhea.
Referral to internal medicine specialist recommended for complex chronic enteropathy.,Digestive Issues,Clinical Notes,Referral to internal medicine specialist recommended for complex chronic enteropathy.
Prescribe metronidazole for suspected bacterial overgrowth/colitis.,Digestive Issues,Clinical Notes,Prescribe metronidazole for suspected bacterial overgrowth/colitis.
Hind limb lameness; check for meniscal injury.,Mobility Problems,Clinical Notes,Hind limb lameness; check for meniscal injury.
Rule out stress colitis as contributing factor.,Digestive Issues,Clinical Notes,Rule out stress colitis as contributing factor.
Consider laser therapy to reduce inflammation.,Ear Infections,Clinical Notes,Consider laser therapy to reduce inflammation.
Performed deep ear flush under sedation. Removed large amount of debris.,Ear Infections,Clinical Notes,Performed deep ear flush under sedation. Removed large amount of debris.
Perform follow-up cytology at recheck to confirm resolution of infection.,Ear Infections,Clinical Notes,Perform follow-up cytology at recheck to confirm resolution of infection.
Baseline cortisol low; ACTH stimulation test confirms Addison's condition. Initiate DOCP and prednisone.,Digestive Issues,Clinical Notes,Baseline cortisol low; ACTH stimulation test confirms Addison's condition. Initiate DOCP and prednisone.
"History of potential toxin exposure (e.g., antifreeze, rodenticide, human medications). Advise immediate evaluation.",Digestive Issues,Clinical Notes,"History of potential toxin exposure (e.g., antifreeze, rodenticide, human medications). Advise immediate evaluation."
Tick panel (4Dx) positive for Borrelia burgdorferi (Lyme) antibodies. Clinical signs consistent with Lyme nephritis/arthritis.,Mobility Problems,Clinical Notes,Tick panel (4Dx) positive for Borrelia burgdorferi (Lyme) antibodies. Clinical signs consistent with Lyme nephritis/arthritis.
Serum folate and cobalamin levels submitted to assess small intestinal absorptive function.,Digestive Issues,Clinical Notes,Serum folate and cobalamin levels submitted to assess small intestinal absorptive function.
"Rule out autoimmune condition (e.g., pemphigus) causing pinnal lesions.",Ear Infections,Clinical Notes,"Rule out autoimmune condition (e.g., pemphigus) causing pinnal lesions."
"Differentials for head shaking: Otitis (externa, media), foreign body, polyp, mites, allergy, neurological condition.",Ear Infections,Clinical Notes,"Differentials for head shaking: Otitis (externa, media), foreign body, polyp, mites, allergy, neurological condition."
"Cytology AS (left ear): Yeast (Malassezia) ++++, Cocci ++, Rods 0. Neutrophils ++.",Ear Infections,Clinical Notes,"Cytology AS (left ear): Yeast (Malassezia) ++++, Cocci ++, Rods 0. Neutrophils ++."
Provide owner with feeding tube care instructions.,Digestive Issues,Clinical Notes,Provide owner with feeding tube care instructions.
"Acute moist dermatitis (hot spot) on left hip; clip, clean, apply topical steroid/antibiotic.",Skin Irritations,Clinical Notes,"Acute moist dermatitis (hot spot) on left hip; clip, clean, apply topical steroid/antibiotic."
Clip hair around lesions to facilitate topical treatment.,Skin Irritations,Clinical Notes,Clip hair around lesions to facilitate topical treatment.
Characteristic gait abnormality and muscle atrophy consistent with infraspinatus contracture.,Mobility Problems,Clinical Notes,Characteristic gait abnormality and muscle atrophy consistent with infraspinatus contracture.
Confirm owner compliance with preventative medications.,Parasites,Clinical Notes,Confirm owner compliance with preventative medications.
Mild enterocolitis; probiotics and fluids advised.,Digestive Issues,Clinical Notes,Mild enterocolitis; probiotics and fluids advised.
"Severe, symmetrical epaxial and gluteal muscle atrophy noted.",Mobility Problems,Clinical Notes,"Severe, symmetrical epaxial and gluteal muscle atrophy noted."
Disc herniation; prescribe strict rest and steroids.,Mobility Problems,Clinical Notes,Disc herniation; prescribe strict rest and steroids.
Food allergy trial initiated with novel protein diet.,Skin Irritations,Clinical Notes,Food allergy trial initiated with novel protein diet.
Crusting lesions on flanks; antifungal cream advised.,Skin Irritations,Clinical Notes,Crusting lesions on flanks; antifungal cream advised.
Educate owner on signs of worsening neurological function.,Mobility Problems,Clinical Notes,Educate owner on signs of worsening neurological function.
Post-clipping alopecia noted on flank; advise owner regrowth may be slow or incomplete.,Skin Irritations,Clinical Notes,Post-clipping alopecia noted on flank; advise owner regrowth may be slow or incomplete.
"Differentials include bacterial folliculitis, demodicosis, dermatophytosis.",Skin Irritations,Clinical Notes,"Differentials include bacterial folliculitis, demodicosis, dermatophytosis."
"Consider autoimmune skin conditions (lupus, pemphigus variants) in differential list.",Skin Irritations,Clinical Notes,"Consider autoimmune skin conditions (lupus, pemphigus variants) in differential list."
Suspect Aelurostrongylus abstrusus (feline lungworm) based on respiratory signs. Baermann fecal analysis confirms L1 larvae.,Parasites,Clinical Notes,Suspect Aelurostrongylus abstrusus (feline lungworm) based on respiratory signs. Baermann fecal analysis confirms L1 larvae.
Administer anti-emetic (maropitant injection) and recommend hospitalization for IV fluids and further diagnostics/surgery.,Digestive Issues,Clinical Notes,Administer anti-emetic (maropitant injection) and recommend hospitalization for IV fluids and further diagnostics/surgery.
Recommend ear drying solution after swimming or bathing for predisposed dogs.,Ear Infections,Clinical Notes,Recommend ear drying solution after swimming or bathing for predisposed dogs.
Perform MDR1 genetic testing before using ivermectin/moxidectin in potentially sensitive breeds.,Parasites,Clinical Notes,Perform MDR1 genetic testing before using ivermectin/moxidectin in potentially sensitive breeds.
Bile acids test recommended to assess liver function.,Digestive Issues,Clinical Notes,Bile acids test recommended to assess liver function.
Flea infestation; start lotilaner chewables.,Parasites,Clinical Notes,Flea infestation; start lotilaner chewables.
Chronic dermatitis on neck; consider immunotherapy.,Skin Irritations,Clinical Notes,Chronic dermatitis on neck; consider immunotherapy.
"Orthopedic exam components: observation, palpation of bones/joints/muscles, range of motion, instability tests (drawer, Ortolani).",Mobility Problems,Clinical Notes,"Orthopedic exam components: observation, palpation of bones/joints/muscles, range of motion, instability tests (drawer, Ortolani)."
Nodular dermatofibrosis; check for renal cystadenocarcinoma.,Skin Irritations,Clinical Notes,Nodular dermatofibrosis; check for renal cystadenocarcinoma.
Recommend strict adherence to hypoallergenic diet trial for minimum 8 weeks.,Ear Infections,Clinical Notes,Recommend strict adherence to hypoallergenic diet trial for minimum 8 weeks.
Nasal hyperkeratosis noted; advise emollients/keratolytic agents.,Skin Irritations,Clinical Notes,Nasal hyperkeratosis noted; advise emollients/keratolytic agents.
"Localized demodicosis in puppy typically resolves spontaneously; monitor closely, treat if lesions spread.",Parasites,Clinical Notes,"Localized demodicosis in puppy typically resolves spontaneously; monitor closely, treat if lesions spread."
Flea allergy dermatitis (FAD) diagnosed; requires strict flea control and symptomatic treatment for pruritus.,Parasites,Clinical Notes,Flea allergy dermatitis (FAD) diagnosed; requires strict flea control and symptomatic treatment for pruritus.
Document degree of lameness and affected limb(s).,Mobility Problems,Clinical Notes,Document degree of lameness and affected limb(s).
Strict cage rest prescribed for suspected acute IVDD episode.,Mobility Problems,Clinical Notes,Strict cage rest prescribed for suspected acute IVDD episode.
Adequate sedation/anesthesia often required for safe and thorough otic examination/procedures.,Ear Infections,Clinical Notes,Adequate sedation/anesthesia often required for safe and thorough otic examination/procedures.
Post-inflammatory hyperpigmentation present in previously inflamed areas.,Skin Irritations,Clinical Notes,Post-inflammatory hyperpigmentation present in previously inflamed areas.
"Pododermatitis in guinea pig; assess husbandry (substrate, cleanliness), rule out infection/scurvy.",Skin Irritations,Clinical Notes,"Pododermatitis in guinea pig; assess husbandry (substrate, cleanliness), rule out infection/scurvy."
Dog has a Malassezia (yeast) overgrowth causing otitis.,Ear Infections,Clinical Notes,Dog has a Malassezia (yeast) overgrowth causing otitis.
Chronic otitis externa; test for atopy.,Ear Infections,Clinical Notes,Chronic otitis externa; test for atopy.
"Hemorrhagic gastroenteritis (HGE): PCV 68%, TP 7.5 g/dL, raspberry jam stool. Aggressive IV fluid resuscitation required.",Digestive Issues,Clinical Notes,"Hemorrhagic gastroenteritis (HGE): PCV 68%, TP 7.5 g/dL, raspberry jam stool. Aggressive IV fluid resuscitation required."
Dental condition noted; may contribute to anorexia or dysphagia.,Digestive Issues,Clinical Notes,Dental condition noted; may contribute to anorexia or dysphagia.
Elevated Creatine Kinase (CK) levels suggest muscle damage; consider polymyositis/dermatomyositis.,Mobility Problems,Clinical Notes,Elevated Creatine Kinase (CK) levels suggest muscle damage; consider polymyositis/dermatomyositis.
Impression smear from pustule reveals neutrophils and intracellular cocci; bacterial pyoderma confirmed.,Skin Irritations,Clinical Notes,Impression smear from pustule reveals neutrophils and intracellular cocci; bacterial pyoderma confirmed.
Radiographs show L7-S1 spondylosis and mild narrowing of neural foramen.,Mobility Problems,Clinical Notes,Radiographs show L7-S1 spondylosis and mild narrowing of neural foramen.
Clip hair around affected areas to improve topical medication contact.,Skin Irritations,Clinical Notes,Clip hair around affected areas to improve topical medication contact.
Inflammatory polyp visualized protruding from middle ear through tympanum.,Ear Infections,Clinical Notes,Inflammatory polyp visualized protruding from middle ear through tympanum.
Use appropriate restraint/sedation for thorough otoscopic examination.,Ear Infections,Clinical Notes,Use appropriate restraint/sedation for thorough otoscopic examination.
Lameness with ataxia; test for spinal lesion.,Mobility Problems,Clinical Notes,Lameness with ataxia; test for spinal lesion.
Osteochondritis dissecans (OCD) lesion noted on shoulder radiograph.,Mobility Problems,Clinical Notes,Osteochondritis dissecans (OCD) lesion noted on shoulder radiograph.
Lesions consistent with mosquito bite hypersensitivity.,Skin Irritations,Clinical Notes,Lesions consistent with mosquito bite hypersensitivity.
Gut dysbiosis likely; recommend synbiotic (probiotic + prebiotic).,Digestive Issues,Clinical Notes,Gut dysbiosis likely; recommend synbiotic (probiotic + prebiotic).
Soft tissue swelling noted around joint; rule out sprain/strain vs. septic arthritis.,Mobility Problems,Clinical Notes,Soft tissue swelling noted around joint; rule out sprain/strain vs. septic arthritis.
Evaluate patient's diet and discuss potential nutritional deficiencies.,Skin Irritations,Clinical Notes,Evaluate patient's diet and discuss potential nutritional deficiencies.
Discuss quality of life assessment and end-of-life decision making if pain becomes unmanageable.,Mobility Problems,Clinical Notes,Discuss quality of life assessment and end-of-life decision making if pain becomes unmanageable.
Advise gradual diet transition over 7-10 days to prevent GI upset.,Digestive Issues,Clinical Notes,Advise gradual diet transition over 7-10 days to prevent GI upset.
Yeast otitis with odor; clean and apply clotrimazole.,Ear Infections,Clinical Notes,Yeast otitis with odor; clean and apply clotrimazole.
Severe dental tartar and gingivitis noted; may contribute to hyporexia or dysphagia.,Digestive Issues,Clinical Notes,Severe dental tartar and gingivitis noted; may contribute to hyporexia or dysphagia.
Re-evaluate tympanic membrane integrity after cleaning.,Ear Infections,Clinical Notes,Re-evaluate tympanic membrane integrity after cleaning.
Initiate topical therapy with chlorhexidine wipes.,Skin Irritations,Clinical Notes,Initiate topical therapy with chlorhexidine wipes.
"Confirm pet's lifestyle (indoor/outdoor, travel history) to assess parasite risk.",Parasites,Clinical Notes,"Confirm pet's lifestyle (indoor/outdoor, travel history) to assess parasite risk."
Consider parasite resistance if treatment fails; switch drug class.,Parasites,Clinical Notes,Consider parasite resistance if treatment fails; switch drug class.
Provide estimate for diagnostics and treatment options.,Mobility Problems,Clinical Notes,Provide estimate for diagnostics and treatment options.
Use Tris-EDTA containing ear flush for Pseudomonas infections.,Ear Infections,Clinical Notes,Use Tris-EDTA containing ear flush for Pseudomonas infections.
Fecal flotation positive for Ancylostoma tubaeforme eggs (++).,Parasites,Clinical Notes,Fecal flotation positive for Ancylostoma tubaeforme eggs (++).
Grade III/IV medial patellar luxation palpated in right stifle.,Mobility Problems,Clinical Notes,Grade III/IV medial patellar luxation palpated in right stifle.
Alopecia and crusting on legs; biopsy suggested.,Skin Irritations,Clinical Notes,Alopecia and crusting on legs; biopsy suggested.
Advise strict hygiene when handling pets with zoonotic parasites.,Parasites,Clinical Notes,Advise strict hygiene when handling pets with zoonotic parasites.
"Advise NPO for 12-24 hours, then slowly reintroduce water and bland food.",Digestive Issues,Clinical Notes,"Advise NPO for 12-24 hours, then slowly reintroduce water and bland food."
Provided detailed post-operative care instructions following TECA-BO surgery.,Ear Infections,Clinical Notes,Provided detailed post-operative care instructions following TECA-BO surgery.
"Ortolani sign positive, indicating hip laxity.",Mobility Problems,Clinical Notes,"Ortolani sign positive, indicating hip laxity."
Administer Cytopoint (lokivetmab) injection for canine atopic dermatitis.,Skin Irritations,Clinical Notes,Administer Cytopoint (lokivetmab) injection for canine atopic dermatitis.
Perineal hernia contributing to constipation.,Digestive Issues,Clinical Notes,Perineal hernia contributing to constipation.
Discuss prognosis for chronic ear condition.,Ear Infections,Clinical Notes,Discuss prognosis for chronic ear condition.
Radiographs show osteophyte formation and joint space narrowing consistent with DJD in elbows.,Mobility Problems,Clinical Notes,Radiographs show osteophyte formation and joint space narrowing consistent with DJD in elbows.
Radiographs show segmental dilation of small intestine with plication; high suspicion for linear foreign body.,Digestive Issues,Clinical Notes,Radiographs show segmental dilation of small intestine with plication; high suspicion for linear foreign body.
Repeat fecal examination post-treatment to confirm parasite eradication.,Digestive Issues,Clinical Notes,Repeat fecal examination post-treatment to confirm parasite eradication.
Ultrasound-guided fine needle aspirate of bone lesion performed; cytology pending.,Mobility Problems,Clinical Notes,Ultrasound-guided fine needle aspirate of bone lesion performed; cytology pending.
"Prescribe isoxazoline (e.g., Bravecto, Nexgard, Simparica, Credelio) for flea/tick control.",Parasites,Clinical Notes,"Prescribe isoxazoline (e.g., Bravecto, Nexgard, Simparica, Credelio) for flea/tick control."
Differential diagnoses for head tilt include peripheral vestibular condition (ear-related) vs. central vestibular condition.,Ear Infections,Clinical Notes,Differential diagnoses for head tilt include peripheral vestibular condition (ear-related) vs. central vestibular condition.
Hookworm eggs in stool; prescribe fenbendazole.,Parasites,Clinical Notes,Hookworm eggs in stool; prescribe fenbendazole.
Recheck appointment scheduled in 10-14 days to assess response to treatment.,Ear Infections,Clinical Notes,Recheck appointment scheduled in 10-14 days to assess response to treatment.
"Differential diagnoses for head shaking include foreign body, mites, infection, polyp, allergy.",Ear Infections,Clinical Notes,"Differential diagnoses for head shaking include foreign body, mites, infection, polyp, allergy."
